bucket,total,--,AE,AL,AO,AR,AT,AU,BA,BD,BE,BG,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CV,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FJ,FR,GB,GE,GH,GQ,GR,HK,HR,HT,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JP,KE,KG,KH,KR,KY,KZ,LA,LB,LK,LT,LU,LV,MA,MK,MM,MO,MR,MW,MX,MY,NE,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PS,PT,PY,RO,RS,RU,RW,SA,SC,SE,SG,SI,SK,SY,TH,TN,TR,TW,UA,UG,US,UZ,VE,VN,XK,ZA
2023-08-13T22,100,4,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,1,0,4,0,0,0,0,11,0,0,0,0,0,0,2,0,0,0,6,8,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,5,0,0,1,0,0,26,0,0,0,0,0
2023-08-13T23,102,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,9,0,0,0,0,7,0,0,0,2,0,0,3,0,0,0,2,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,7,0,0,0,2,0,0,1,0,0,33,0,0,1,0,0
2023-08-14T00,88,5,0,0,0,1,0,0,0,0,0,0,0,1,0,6,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,1,0,0,1,0,0,34,0,0,1,0,0
2023-08-14T01,84,4,0,0,0,2,0,0,0,0,0,0,0,1,0,6,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,6,0,0,0,1,0,0,1,0,0,35,0,0,0,0,0
2023-08-14T02,88,3,0,0,0,1,0,2,0,0,0,0,0,1,0,11,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,2,0,0,2,0,0,25,0,0,0,0,0
2023-08-14T03,80,2,0,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,5,0,0,0,0,7,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,1,0,3,0,0,0,1,5,0,1,0,1,0,0,1,0,0,33,0,0,1,0,0
2023-08-14T04,95,3,0,0,0,1,0,0,0,0,0,0,1,1,0,4,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,1,0,0,2,1,0,43,0,0,1,0,0
2023-08-14T05,137,5,0,0,0,1,0,1,0,0,0,0,1,1,0,7,1,0,0,0,4,0,0,1,0,3,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,2,0,0,1,1,0,85,0,0,0,0,0
2023-08-14T06,65,4,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,1,0,0,24,0,0,0,0,0
2023-08-14T07,81,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,3,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,1,2,0,0,1,13,0,0,0,1,0,0,2,1,0,23,0,0,0,0,0
2023-08-14T08,88,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,2,3,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,1,6,0,0,0,5,0,0,2,1,0,37,0,0,0,0,0
2023-08-14T09,80,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,6,4,0,0,0,0,1,0,0,0,0,7,0,1,0,0,0,3,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,1,0,0,0,7,0,1,0,1,0,0,3,1,0,20,0,0,0,0,0
2023-08-14T10,70,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,2,0,0,2,0,0,20,0,0,1,0,0
2023-08-14T11,111,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,5,3,0,0,0,0,3,0,0,0,0,6,0,0,0,1,0,4,0,0,0,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,7,0,0,0,7,0,0,5,0,0,41,0,0,0,0,0
2023-08-14T12,138,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,5,0,0,0,0,7,0,1,0,0,0,0,1,0,0,0,7,4,0,0,0,0,2,0,0,0,0,5,0,0,0,1,0,5,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,2,14,0,0,0,8,0,0,3,0,0,46,0,0,0,0,1
2023-08-14T13,90,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,3,0,0,0,0,7,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,1,0,0,2,0,4,0,0,0,0,0,0,1,0,0,0,1,7,0,0,0,6,0,0,2,0,0,19,0,0,1,0,0
2023-08-14T14,107,3,0,0,1,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,12,0,0,0,0,0,0,2,0,0,0,6,7,0,0,0,0,2,0,0,0,0,9,0,1,0,0,0,5,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,8,0,0,2,0,0,19,0,0,0,0,0
2023-08-14T15,137,3,0,0,0,0,1,0,0,0,1,0,0,1,0,1,2,0,0,0,8,0,0,0,0,20,1,0,0,0,0,0,2,0,0,0,8,12,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,12,2,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,7,0,0,0,11,0,0,3,0,0,24,0,0,0,0,0
2023-08-14T16,131,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,16,0,0,0,0,23,0,0,0,0,0,0,1,0,0,0,4,5,0,0,0,0,2,0,0,0,0,8,0,1,0,1,0,10,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,3,8,1,0,0,5,0,2,1,0,0,17,0,1,1,0,0
2023-08-14T17,173,3,0,0,0,0,0,1,0,0,1,1,0,2,0,1,0,0,0,0,15,0,0,0,0,25,1,0,0,0,0,0,3,0,0,0,9,9,0,0,0,0,4,0,0,0,0,0,0,1,0,2,0,7,5,0,0,0,3,0,0,0,0,0,1,0,1,0,0,1,0,0,0,3,0,0,0,4,2,0,0,0,0,2,0,4,0,0,4,0,2,0,2,0,0,0,3,19,1,0,0,2,0,2,1,0,0,24,0,1,1,0,0
2023-08-14T18,198,1,0,0,0,0,2,0,0,0,0,0,0,1,0,3,0,0,0,0,16,0,0,0,0,30,1,0,0,0,0,0,4,0,0,0,6,18,0,0,0,0,2,0,0,0,1,5,0,2,0,1,0,6,3,0,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,10,1,0,2,0,0,1,0,3,0,0,2,0,2,0,0,0,0,0,3,5,0,0,0,2,0,0,1,0,0,54,0,0,0,0,0
2023-08-14T19,153,3,0,0,0,1,1,0,0,0,1,0,0,2,0,3,1,0,1,0,16,0,0,0,0,25,0,0,0,0,0,0,7,0,0,0,10,18,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,10,0,0,0,1,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,11,1,0,1,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,2,5,0,0,0,1,0,0,1,0,0,17,0,0,0,0,0
2023-08-14T20,180,2,0,0,0,0,0,1,0,0,2,0,0,0,0,2,2,0,2,0,19,0,0,0,1,24,0,0,0,0,0,0,2,0,0,0,12,23,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,9,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,1,0,3,0,0,2,0,2,0,1,0,0,0,1,5,0,0,0,0,0,0,1,0,0,44,0,0,0,0,2
2023-08-14T21,123,3,0,0,0,0,0,1,0,0,1,0,0,3,0,2,0,0,1,0,15,0,0,0,1,14,1,0,0,0,0,0,1,0,0,0,7,11,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,1,0,3,0,0,1,0,1,0,0,0,0,0,1,5,0,0,0,1,0,0,1,0,0,28,0,0,0,0,1
2023-08-14T22,131,1,0,0,0,0,0,0,0,0,1,0,0,1,0,4,1,0,0,0,9,0,0,0,3,10,0,0,0,0,0,0,2,0,0,0,5,13,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,9,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,2,0,0,0,4,0,0,0,0,5,0,0,0,1,1,0,1,0,0,40,0,0,0,0,0
2023-08-14T23,103,2,0,0,0,2,0,0,0,0,0,0,0,3,0,6,1,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,2,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,6,0,0,0,0,0,0,1,0,0,48,0,0,0,0,0
2023-08-15T00,101,2,1,0,0,0,0,0,0,0,1,0,0,1,0,10,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,1,0,0,1,0,0,45,0,0,0,0,0
2023-08-15T01,136,1,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,2,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,4,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,3,0,0,3,0,0,88,0,0,0,0,0
2023-08-15T02,146,2,0,0,0,0,0,0,0,1,0,0,0,3,0,4,0,0,1,0,3,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,8,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,0,0,13,0,0,0,2,1,0,1,0,0,81,0,0,0,0,1
2023-08-15T03,112,3,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0,0,0,2,3,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,1,0,0,1,0,0,1,5,0,1,0,1,2,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,13,0,0,0,1,1,0,1,0,0,48,0,0,1,0,0
2023-08-15T04,152,2,0,0,0,0,0,1,0,0,0,0,0,1,0,7,0,0,0,0,6,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,1,0,0,85,0,0,0,0,1
2023-08-15T05,93,2,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,5,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,5,0,0,0,2,0,0,1,0,0,39,0,0,0,0,0
2023-08-15T06,112,1,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,5,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,1,2,0,0,52,0,0,0,0,0
2023-08-15T07,70,2,0,0,0,0,0,1,0,0,0,1,0,1,0,4,0,0,0,1,5,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,5,0,0,0,0,0,0,2,0,0,21,0,0,0,0,0
