bucket,total,--,AE,AM,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BO,BR,BW,BY,BZ,CA,CH,CI,CL,CM,CN,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EG,ES,ET,FI,FR,GB,GE,GH,GM,GP,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KE,KH,KR,KZ,LA,LB,LK,LT,LU,LV,MA,MD,ME,MK,MM,MN,MU,MX,MY,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PR,PT,PY,QA,RO,RS,RU,RW,SD,SE,SG,SI,SK,TH,TN,TR,TT,TW,TZ,UA,UG,US,UY,UZ,VE,VN,ZA,ZW
2023-10-16T13,111,1,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,4,0,0,0,0,4,1,1,0,0,10,0,0,0,0,0,1,0,0,7,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,1,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,2,0,4,0,0,0,0,0,0,1,0,0,0,5,0,0,15,0,0,0,6,0,0,0,18,0,0,0,0,1,0
2023-10-16T14,109,3,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,6,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,1,0,0,8,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,6,0,0,21,0,1,0,3,0,0,0,19,0,0,0,0,0,0
2023-10-16T15,114,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,5,0,0,0,0,5,0,0,0,0,10,0,0,0,0,0,2,0,0,10,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,4,0,0,0,0,0,0,2,0,2,0,0,2,5,0,0,12,0,0,0,4,0,0,0,21,0,0,0,0,0,0
2023-10-16T16,157,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,5,1,0,1,0,2,0,0,0,0,19,1,0,0,0,0,3,0,0,14,5,0,0,0,0,1,1,1,0,0,0,0,1,0,1,15,1,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,1,1,1,0,1,0,0,0,0,3,0,0,8,5,0,0,16,0,0,0,5,0,2,1,25,0,0,0,0,0,0
2023-10-16T17,174,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5,1,0,1,0,3,0,0,0,0,34,3,0,0,0,0,3,0,0,9,7,0,0,0,0,3,0,0,1,0,0,0,0,0,0,15,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,1,1,0,2,0,0,2,0,3,0,0,3,5,0,0,15,0,1,0,9,0,0,1,25,0,0,0,0,0,0
2023-10-16T18,229,1,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,10,1,0,1,0,7,0,0,0,0,43,0,0,0,0,0,3,0,0,13,13,0,0,0,0,1,3,1,0,2,1,0,2,0,0,16,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,1,0,0,0,1,0,1,0,3,0,0,2,0,4,0,0,8,8,0,0,14,0,1,0,6,0,0,0,31,0,0,0,1,0,0
2023-10-16T19,203,2,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,13,1,0,1,0,6,0,0,0,0,33,0,0,0,0,0,1,0,0,13,11,0,0,0,0,0,2,0,0,1,0,0,1,0,0,25,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,17,1,0,0,0,0,0,2,0,4,0,0,1,0,5,0,0,1,7,0,0,2,0,3,0,2,0,0,0,28,0,0,1,1,0,0
2023-10-16T20,137,4,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,6,1,0,1,0,4,0,0,0,0,20,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,6,1,0,0,0,0,0,3,0,4,0,0,0,0,3,0,0,2,5,0,0,2,0,3,0,2,0,0,0,24,0,0,1,0,0,0
2023-10-16T21,130,3,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,7,1,0,0,0,3,0,0,0,0,14,0,1,0,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,2,0,2,0,0,1,0,1,0,0,0,6,0,0,0,0,1,0,3,0,0,0,30,0,0,1,0,0,0
2023-10-16T22,116,2,0,0,2,0,2,0,0,0,1,0,0,0,1,0,0,0,6,0,0,0,0,10,0,0,0,0,11,0,1,0,0,0,1,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,6,0,0,2,0,0,0,1,0,0,0,30,0,0,1,0,0,0
