bucket,total,--,AE,AM,AR,AT,AU,AW,BA,BB,BD,BE,BG,BH,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CV,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GM,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JM,JO,JP,KE,KG,KR,KW,KZ,LA,LB,LT,LU,LV,MA,MD,MK,MM,MN,MR,MT,MU,MX,MY,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PS,PT,PY,RO,RU,RW,SA,SC,SD,SE,SG,SI,SK,SO,TH,TJ,TN,TR,TW,UA,UG,US,UY,UZ,VE,VN,ZA,ZM,ZW
2023-09-18T05,139,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,2,0,0,0,5,0,0,74,0,0,0,2,0,0,0
2023-09-18T06,85,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,8,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,2,0,0,0,5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,1,0,5,0,0,0,4,0,1,29,0,0,1,0,0,0,0
2023-09-18T07,76,2,0,0,0,0,0,0,0,0,1,0,0,0,3,0,4,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,8,0,0,0,5,0,0,0,1,0,0,20,0,0,0,0,0,0,0
2023-09-18T08,107,2,1,0,1,0,1,0,0,0,1,0,0,0,6,0,1,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,2,5,0,0,0,0,3,0,0,1,0,0,4,0,1,2,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0,0,0,1,9,0,0,0,2,0,0,0,2,1,0,37,0,0,0,0,0,0,0
2023-09-18T09,125,1,0,0,2,0,1,0,0,0,0,0,1,0,3,0,1,0,0,0,0,11,0,0,0,1,0,11,0,0,0,0,0,0,3,0,0,3,7,0,0,0,0,3,0,0,1,0,1,3,0,1,4,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,8,0,0,0,2,0,0,1,4,1,0,39,0,0,0,0,0,0,0
2023-09-18T10,125,2,0,0,3,0,2,0,0,0,0,0,0,0,2,0,4,0,0,0,0,20,0,0,0,0,0,8,0,0,0,1,0,0,1,0,0,4,7,0,0,0,1,2,0,2,0,0,1,1,0,0,7,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,1,1,0,0,1,2,0,3,0,1,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,1,3,0,0,22,0,0,1,0,0,0,0
2023-09-18T11,149,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,20,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,4,5,0,0,0,1,1,0,1,1,0,0,2,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,1,1,0,0,1,0,4,0,1,0,1,1,0,0,1,0,1,8,0,0,0,0,0,0,0,10,0,0,52,0,0,0,0,1,0,0
2023-09-18T12,126,2,0,0,0,0,1,0,0,0,0,1,0,0,4,0,2,0,0,0,0,19,0,0,0,0,0,10,0,0,0,0,0,0,2,0,0,7,11,0,0,0,1,1,0,0,1,0,0,1,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,5,0,0,0,6,0,0,0,4,1,0,24,0,0,0,2,0,0,0
2023-09-18T13,149,2,0,0,0,0,2,0,0,0,0,0,0,0,3,0,3,0,0,1,0,18,0,0,0,0,0,13,0,0,0,0,0,0,1,0,1,6,7,0,0,0,0,1,0,1,1,2,0,3,0,2,6,0,0,3,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,5,0,0,0,8,0,0,0,5,2,0,35,0,0,0,3,0,0,0
2023-09-18T14,121,2,2,0,0,2,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,14,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,2,0,0,0,4,0,5,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,5,0,0,0,14,0,0,1,6,0,0,16,0,0,0,1,0,0,0
2023-09-18T15,178,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,13,1,0,0,0,0,28,0,0,0,0,0,0,1,0,0,6,12,0,0,0,0,3,0,0,2,0,1,2,0,0,11,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,1,0,1,4,0,0,0,0,1,6,0,0,0,14,0,0,0,4,0,0,49,0,0,0,2,0,0,0
2023-09-18T16,197,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,4,1,0,1,0,8,2,0,0,0,0,34,0,0,0,0,0,0,2,0,0,8,6,0,0,0,0,1,0,0,0,0,0,3,0,0,17,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,1,0,1,0,2,0,1,0,0,4,0,0,0,0,1,5,0,0,0,13,0,0,1,4,0,0,52,0,0,0,0,0,0,0
2023-09-18T17,196,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,4,1,0,0,0,1,2,0,0,0,0,30,0,0,0,0,0,0,6,0,2,9,9,0,0,0,0,1,0,1,1,0,1,2,0,0,19,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,10,0,0,0,0,0,0,0,2,0,1,0,0,3,0,0,0,0,6,6,0,0,0,15,0,0,1,3,0,0,41,0,0,0,2,0,0,0
2023-09-18T18,231,3,0,0,0,1,0,0,0,0,1,2,0,0,1,0,9,1,0,0,0,3,2,0,0,0,0,47,1,0,0,0,0,0,3,0,0,7,17,0,0,0,0,0,0,0,1,0,0,1,0,0,11,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,16,1,0,0,3,0,0,0,1,0,2,0,0,3,0,0,0,0,6,9,0,0,0,7,0,0,0,3,1,0,61,0,0,0,1,0,0,0
2023-09-18T19,154,1,0,0,3,1,0,0,1,0,1,2,0,0,3,0,6,0,0,0,0,3,0,0,0,0,0,22,0,0,0,0,0,0,2,0,0,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,6,0,0,0,5,0,0,2,2,0,0,34,0,0,0,0,0,0,0
2023-09-18T20,199,2,0,0,5,0,0,0,0,0,1,1,0,0,4,0,3,2,0,0,0,13,0,0,0,0,0,33,0,0,0,0,0,0,1,0,0,12,16,0,0,0,0,0,0,0,0,0,0,3,0,1,15,0,0,5,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,3,0,0,0,0,3,1,0,0,0,1,6,0,0,0,5,0,0,1,2,0,0,47,0,0,0,0,0,0,0
2023-09-18T21,218,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,4,2,0,0,0,0,13,0,0,0,0,0,0,2,0,0,7,17,0,0,0,0,3,0,2,1,0,0,1,0,1,20,0,0,13,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,6,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,6,0,0,0,3,0,0,3,2,0,0,91,0,0,0,0,0,0,0
2023-09-18T22,126,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,1,0,13,3,1,0,0,0,7,0,0,0,0,0,0,1,1,1,4,9,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,1,6,0,0,0,1,0,0,1,3,0,0,29,0,0,0,0,0,0,0
2023-09-18T23,142,4,0,0,2,0,1,0,0,0,0,0,0,0,1,0,9,1,0,0,0,8,2,1,0,0,0,5,0,0,0,0,0,0,1,1,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,5,0,0,6,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0,1,1,0,59,0,0,0,2,0,1,0
2023-09-19T00,123,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,11,0,1,0,0,0,4,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,5,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,6,0,0,0,1,1,0,0,4,0,0,52,0,0,0,1,1,0,0
2023-09-19T01,109,2,0,0,3,1,0,0,0,0,0,0,0,0,3,0,7,1,0,1,0,11,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,2,0,0,1,0,1,0,0,1,0,1,4,0,0,3,0,0,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,3,1,0,0,0,0,7,0,0,0,1,0,0,0,1,0,0,35,0,0,0,0,0,0,0
2023-09-19T02,96,4,0,1,1,0,0,0,0,0,0,0,0,0,5,0,4,1,0,0,0,7,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,1,0,0,3,0,0,1,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,2,0,0,0,0,5,1,0,0,0,0,7,0,0,0,1,0,0,0,2,0,0,25,0,1,0,0,0,0,1
2023-09-19T03,98,5,0,1,0,0,1,0,0,0,0,0,0,0,1,0,5,0,0,0,0,8,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,6,0,0,0,1,0,0,1,2,1,0,33,0,1,0,0,0,0,0
2023-09-19T04,110,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,4,1,0,0,0,0,4,0,0,0,0,0,0,0,0,2,4,3,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,1,2,0,0,58,0,0,1,1,0,0,0
2023-09-19T05,106,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,4,1,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,3,2,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,1,1,0,0,53,0,0,0,0,0,0,0
2023-09-19T06,126,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,3,0,0,0,0,0,1,0,0,2,3,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,1,0,4,0,0,0,0,2,0,0,0,0,0,6,0,0,0,1,0,0,0,3,0,0,59,0,0,0,0,0,0,0
