bucket,total,--,AE,AL,AM,AO,AR,AT,AU,BA,BB,BD,BE,BG,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CW,CZ,DE,DK,DO,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JO,JP,KE,KH,KR,KZ,LB,LK,LT,LU,LV,MA,MC,MD,MG,MK,MM,MO,MW,MX,MY,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PT,PY,RE,RO,RS,RU,RW,SC,SE,SG,SI,SK,TH,TR,TW,TZ,UA,UG,US,UY,UZ,VE,VN,YE,ZA,ZM,ZW
2023-07-09T22,115,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,5,1,0,1,0,6,0,0,0,0,11,0,0,0,0,0,3,0,0,3,5,0,0,0,2,0,0,0,0,0,0,0,0,14,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,1,5,0,0,3,1,1,0,0,0,36,0,0,0,0,0,0,0,0
2023-07-09T23,76,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,2,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,6,0,0,2,0,1,0,1,0,26,0,0,0,1,0,0,0,0
2023-07-10T00,93,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,0,1,0,5,0,0,0,0,3,0,1,0,0,0,1,0,0,2,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0,0,1,0,3,0,1,0,34,0,0,0,1,0,0,0,0
2023-07-10T01,72,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,10,0,0,0,0,3,0,0,0,1,3,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,1,0,2,0,1,0,26,0,0,0,0,0,0,0,0
2023-07-10T02,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,4,0,0,0,0,4,1,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,5,0,0,2,0,2,0,1,0,21,0,0,0,0,0,0,0,0
2023-07-10T03,77,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,1,0,4,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,0,0,2,0,0,2,0,5,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,7,0,0,0,1,1,0,1,0,29,0,1,0,0,0,0,0,0
2023-07-10T04,75,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,16,0,0,0,0,3,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,0,0,1,1,1,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,2,0,14,0,0,0,0,0,0,0,0
2023-07-10T05,69,3,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,3,0,0,0,0,16,0,0,0,0,3,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,1,8,0,0,0,0,1,0,1,0,12,0,0,0,0,0,0,0,0
2023-07-10T06,91,1,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,2,0,0,0,0,17,0,0,0,0,4,0,0,0,0,0,2,0,0,1,1,0,0,0,2,0,0,1,0,0,3,0,0,2,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,1,6,0,0,0,0,2,0,1,0,24,0,0,0,0,0,0,0,0
2023-07-10T07,76,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,18,0,0,0,1,5,0,0,0,0,0,2,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,1,1,2,0,0,0,0,0,0,0,0,1,7,0,0,0,0,3,1,2,0,10,0,0,0,0,0,0,0,0
