bucket,total,--,AE,AM,AR,AT,AU,BA,BB,BD,BE,BG,BH,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CV,CZ,DE,DK,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GR,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JO,JP,KE,KH,KR,KZ,LA,LB,LT,LV,LY,MA,MD,MK,ML,MM,MO,MU,MX,MY,MZ,NE,NG,NL,NO,NZ,PA,PE,PH,PK,PL,PT,RO,RS,RU,RW,SA,SC,SE,SG,SK,SO,SR,SV,TH,TN,TR,TT,TW,UA,UG,US,UY,UZ,VE,VN,WS,ZA,ZW
2023-08-28T18,178,1,0,0,1,0,1,0,0,0,4,0,0,0,2,0,8,1,0,0,0,2,0,0,0,0,48,3,1,0,0,0,5,0,0,13,13,0,0,0,0,0,2,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,4,1,1,0,1,1,0,0,3,6,0,0,0,0,6,0,3,0,3,1,0,15,0,0,0,1,0,0,0
2023-08-28T19,152,2,0,0,1,0,0,0,0,0,2,0,0,0,1,0,9,2,0,0,0,1,1,0,0,0,36,1,0,0,0,0,1,0,0,11,5,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,4,1,0,1,0,0,1,0,2,6,0,0,0,0,2,0,2,0,3,1,0,21,0,0,0,1,0,0,0
2023-08-28T20,128,3,0,0,1,1,0,0,0,0,1,0,0,0,2,0,7,2,0,0,0,2,0,0,0,0,20,2,0,0,0,0,1,0,0,12,10,0,0,1,0,0,0,1,0,1,2,0,1,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,2,2,0,1,1,0,0,0,1,5,0,0,0,0,1,0,1,0,2,0,0,23,0,0,0,1,0,0,0
2023-08-28T21,121,4,0,0,3,0,0,0,0,0,0,0,0,0,2,0,3,2,1,0,0,2,0,0,0,0,15,2,0,0,0,1,3,0,0,7,8,0,0,0,0,0,0,1,0,1,1,0,1,0,8,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,1,2,0,0,1,0,0,0,3,5,0,0,0,0,2,0,0,0,1,1,0,26,0,0,0,0,0,0,0
2023-08-28T22,112,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,1,1,0,1,1,1,0,0,7,1,0,0,0,1,1,0,0,9,9,0,1,0,0,0,0,1,0,0,1,0,1,0,10,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,2,1,0,0,2,6,0,0,0,0,2,0,1,0,2,0,0,26,0,0,0,0,0,2,0
2023-08-28T23,109,2,0,0,2,0,0,0,0,0,0,0,0,0,5,0,2,2,1,1,0,3,3,1,0,0,3,1,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,6,0,0,0,0,1,0,0,0,1,0,2,43,0,0,0,0,0,1,0
2023-08-29T00,82,2,0,0,0,0,0,0,1,0,0,0,0,0,4,0,6,1,0,0,0,4,2,1,0,0,3,1,0,0,0,0,1,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,2,1,1,0,1,5,0,0,0,0,0,0,0,0,1,0,0,32,0,0,0,0,0,0,0
2023-08-29T01,93,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,1,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,5,0,0,0,0,0,0,0,0,1,0,0,49,0,0,0,1,0,1,0
2023-08-29T02,90,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,2,0,6,1,0,0,0,4,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,8,0,0,0,0,1,0,0,0,1,0,0,36,0,1,0,0,0,1,0
2023-08-29T03,64,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,4,1,0,0,0,2,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8,0,0,0,0,0,0,0,0,1,1,0,25,0,1,0,0,0,1,0
2023-08-29T04,64,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,0,0,5,1,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0,2,0,0,0,2,6,0,0,0,0,0,0,1,0,1,0,0,19,0,1,0,0,0,0,0
2023-08-29T05,66,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,10,0,0,0,0,3,0,0,0,0,4,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,8,0,0,0,0,0,0,0,0,3,0,0,21,0,0,0,0,0,0,0
2023-08-29T06,71,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,3,0,0,0,0,3,1,0,0,0,0,1,0,0,2,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,4,1,0,0,1,8,0,0,0,0,0,0,0,0,4,0,0,15,0,0,0,0,0,0,0
2023-08-29T07,81,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,5,1,0,0,0,0,1,0,0,6,6,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,3,1,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,1,0,2,0,0,0,2,1,0,0,1,8,0,0,0,0,1,0,0,0,2,0,0,20,0,0,0,0,0,0,0
