bucket,total,--,AE,AM,AR,AT,AU,BB,BD,BE,BG,BH,BO,BR,BS,BW,BY,CA,CH,CI,CL,CN,CO,CR,CV,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GR,GT,HK,HN,HR,HT,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JO,JP,KE,KH,KR,KZ,LT,LU,LV,LY,MA,MK,MM,MN,MO,MT,MU,MW,MX,MY,MZ,NC,NG,NI,NL,NO,NZ,PA,PE,PH,PK,PL,PT,PY,RO,RS,RU,RW,SC,SD,SE,SG,SI,SK,SV,TH,TN,TR,TT,TW,TZ,UA,US,UY,UZ,VE,VN,WS,ZA
2023-03-26T22,196,2,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,17,0,0,0,13,5,0,0,1,12,0,0,0,2,0,0,2,0,0,9,9,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11,0,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,1,0,9,0,0,0,2,6,0,0,0,0,0,0,0,10,0,3,41,0,0,0,0,0,2
2023-03-26T23,218,3,0,0,1,0,1,0,0,0,0,4,0,3,0,0,0,13,1,0,0,16,1,0,0,0,10,0,0,0,0,0,0,1,0,0,9,8,0,0,0,0,1,0,0,0,0,0,1,0,6,0,0,0,6,0,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0
2023-03-27T00,125,2,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,10,2,0,0,16,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,1,0,0,56,0,0,0,2,0,0
2023-03-27T01,101,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,8,0,0,1,22,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,1
2023-03-27T02,101,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,2,20,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,6,0,0,0,0,0,0,0,1,0,0,33,0,0,0,1,0,1
2023-03-27T03,91,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,18,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,0,0,0,0,0,0,0,1,0,0,34,0,0,0,1,0,0
2023-03-27T04,83,3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,0,8,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,5,0,1,0,0,0,0,0,2,0,0,29,0,0,0,0,0,0
2023-03-27T05,85,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,2,1,0,0,4,0,0,0,0,6,0,0,0,0,0,1,0,0,0,2,4,0,0,0,0,1,0,0,0,1,1,0,0,6,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,8,0,0,0,1,0,0,0,1,0,1,26,0,0,0,1,0,0
2023-03-27T06,87,2,1,0,1,0,0,0,0,0,0,0,0,2,0,0,1,2,1,0,0,5,0,0,0,0,9,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,1,0,0,0,1,0,2,0,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,9,0,0,0,1,0,0,0,0,0,1,27,0,0,0,1,0,0
2023-03-27T07,84,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,7,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,2,0,0,0,0,0,5,0,2,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,6,0,0,0,2,0,0,0,0,0,0,26,0,0,1,0,0,0
