bucket,total,--,AE,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BO,BR,BT,BY,CA,CH,CL,CN,CO,CR,CV,CZ,DE,DK,DO,EC,EE,ES,ET,FI,FJ,FR,GB,GE,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JP,KE,KH,KR,KZ,LA,LB,LT,LU,LV,LY,MA,MD,MK,ML,MM,MO,MR,MU,MW,MX,MY,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PS,PT,PY,RO,RS,RU,RW,SA,SC,SE,SG,SI,SK,SR,SV,TH,TN,TR,TW,TZ,UA,UG,US,UZ,VE,VN,ZA
2023-08-20T15,194,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,1,0,14,0,0,0,0,14,0,0,0,2,2,0,0,0,8,8,0,0,0,1,0,0,2,0,0,0,1,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,2,0,2,0,0,0,1,0,0,1,1,0,0,0,7,0,0,0,0,17,0,0,2,0,2,0,77,0,0,0,0
2023-08-20T16,177,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,8,0,0,0,0,29,0,0,0,2,3,0,1,0,13,7,0,0,0,2,0,0,3,0,0,2,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,1,4,0,0,0,0,1,0,1,0,0,0,1,5,0,0,0,0,12,0,0,4,0,2,0,55,0,0,0,0
2023-08-20T17,142,3,0,0,0,1,0,0,0,0,1,1,0,1,0,0,2,2,1,1,0,0,0,0,27,0,0,0,0,6,0,0,0,11,11,0,0,0,0,0,0,1,0,0,2,0,3,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,3,0,0,0,0,2,0,0,0,0,0,3,5,0,0,0,0,8,0,0,2,0,0,0,30,0,0,0,0
2023-08-20T18,158,2,1,1,0,0,0,0,0,0,1,0,0,2,0,0,4,0,1,4,0,0,0,0,40,0,0,0,1,2,0,0,0,9,7,0,0,0,3,0,0,1,0,0,0,1,1,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,1,0,5,0,0,1,0,2,0,0,0,0,0,3,5,0,0,0,0,7,0,0,3,0,0,0,31,0,0,1,0
2023-08-20T19,175,4,0,0,2,0,0,0,0,0,2,2,0,0,0,0,5,1,0,4,1,0,0,0,20,0,0,0,0,1,0,0,0,7,12,0,0,0,0,0,0,0,7,0,1,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,1,0,1,0,0,0,0,2,0,0,0,0,1,0,5,0,0,0,5,6,0,0,0,0,6,0,0,1,0,2,0,42,0,0,0,0
2023-08-20T20,139,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,3,0,5,1,0,0,0,18,0,0,0,0,0,0,0,0,9,7,0,0,0,1,0,0,0,0,0,1,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,3,7,0,0,0,0,3,0,0,2,0,1,0,39,0,0,0,0
2023-08-20T21,150,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,1,0,6,1,0,0,0,16,0,0,0,0,1,0,0,0,7,11,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,4,8,0,0,0,0,0,0,0,1,0,0,0,67,0,0,0,0
2023-08-20T22,104,4,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,1,1,4,0,0,0,0,10,0,0,0,0,2,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,3,5,0,0,0,0,0,0,0,1,0,0,1,38,0,0,0,0
2023-08-20T23,98,4,0,0,0,0,0,0,0,1,0,0,0,2,0,0,3,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,4,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,0,0,0,0,0,0,0,1,0,0,1,53,0,0,0,0
2023-08-21T00,71,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,7,0,0,0,0,4,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,5,0,0,0,0,0,0,0,1,0,0,0,32,0,0,0,0
2023-08-21T01,79,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,7,0,0,0,0,3,0,0,0,0,1,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,1,0,0,2,0,0,0,26,0,1,0,0
2023-08-21T02,87,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,3,4,0,0,0,0,4,0,0,0,0,0,0,1,0,3,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,6,1,0,0,0,0,0,0,2,0,0,0,38,0,1,0,0
2023-08-21T03,76,3,0,1,0,1,0,0,0,1,0,0,0,3,0,0,4,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,1,5,0,0,0,0,3,0,0,4,0,1,0,25,0,0,0,0
2023-08-21T04,56,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,10,0,0,0,0,3,0,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,16,0,0,0,0
2023-08-21T05,83,2,0,1,0,0,0,0,0,0,0,0,1,3,0,0,4,0,0,14,0,0,1,0,5,0,0,0,0,1,0,0,0,5,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,5,0,0,0,0,1,0,0,1,0,0,0,22,0,0,1,0
2023-08-21T06,78,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,16,0,0,0,0,5,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,2,0,3,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0,1,0,0,2,0,0,0,21,0,0,1,0
2023-08-21T07,69,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,12,0,0,0,0,6,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,0,0,1,5,0,0,0,0,0,0,1,3,0,0,0,15,0,0,0,0
2023-08-21T08,77,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2,0,1,13,0,0,0,0,8,0,0,0,0,0,0,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,1,6,0,0,0,0,2,0,0,3,0,0,0,15,0,0,0,0
2023-08-21T09,77,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,14,0,0,0,0,3,0,0,0,0,0,0,1,0,4,4,0,1,0,0,0,0,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,3,5,0,0,0,0,7,0,0,2,0,0,0,16,0,0,0,0
2023-08-21T10,76,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8,0,0,0,0,9,0,0,0,0,1,0,0,0,5,3,0,1,0,1,0,0,0,0,0,1,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,5,0,0,0,0,5,0,0,1,0,0,0,14,0,0,0,0
2023-08-21T11,74,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,8,0,1,0,0,0,0,1,0,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,2,3,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,2,0,0,0,1,5,0,0,0,0,9,0,0,1,0,0,0,17,0,0,0,0
2023-08-21T12,113,5,0,2,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,6,0,0,0,0,10,0,1,0,0,0,0,0,0,4,4,0,0,0,1,0,0,2,0,0,1,0,0,0,2,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,3,0,1,0,0,0,0,0,0,3,2,0,0,1,7,0,0,0,0,18,0,0,5,0,0,0,20,0,0,0,0
2023-08-21T13,119,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,1,11,0,0,0,0,3,0,0,0,4,4,0,0,0,3,0,0,3,0,0,4,0,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,1,0,0,23,0,1,2,0,1,0,20,0,1,1,0
2023-08-21T14,143,6,0,0,1,0,0,0,0,1,0,0,0,3,0,0,2,0,0,4,1,0,0,1,11,0,0,0,0,1,0,0,0,5,9,0,0,0,2,0,0,1,0,0,1,0,0,0,6,4,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,1,3,0,0,0,1,8,0,2,0,0,20,0,1,1,0,2,0,28,0,0,0,1
2023-08-21T15,95,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,11,0,0,0,0,3,0,0,0,6,4,0,0,0,3,0,0,0,0,0,1,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,2,11,0,0,0,0,18,0,0,2,0,0,0,16,0,0,1,1
2023-08-21T16,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,23,0,0,0,0,1,0,0,0,9,4,0,0,0,1,0,0,0,0,0,1,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,3,5,0,0,0,0,7,0,1,1,0,0,0,20,0,0,0,0
2023-08-21T17,111,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,0,22,0,0,0,0,1,0,0,0,14,9,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,2,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,2,6,0,0,0,0,5,0,0,2,0,0,0,18,0,0,0,0
2023-08-21T18,152,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,1,0,0,0,0,31,0,0,0,0,2,0,1,0,7,14,0,0,0,2,0,0,0,0,0,1,0,0,0,7,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,2,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,3,5,0,0,0,0,2,0,0,1,0,0,0,30,0,0,0,1
2023-08-21T19,126,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2,0,0,0,0,26,0,1,0,0,4,0,0,0,8,8,0,0,0,0,0,0,0,0,1,0,0,0,0,14,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,6,0,0,0,0,4,0,0,1,0,0,0,16,0,0,0,0
2023-08-21T20,114,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,4,1,1,0,0,0,0,20,0,1,0,0,1,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,4,0,0,1,0,0,0,19,0,0,1,0
2023-08-21T21,78,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,3,2,0,0,0,8,0,0,0,0,0,0,0,0,4,5,0,0,0,1,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,1,1,0,1,0,16,0,0,1,0
2023-08-21T22,83,1,0,0,0,0,0,0,0,0,1,1,0,2,0,0,6,1,0,1,2,0,0,0,6,0,0,0,0,2,0,0,0,5,4,0,0,0,0,0,1,0,0,1,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,2,0,0,1,0,0,0,20,0,0,3,0
2023-08-21T23,79,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,2,0,3,3,0,0,0,4,0,0,0,0,1,0,0,0,2,5,0,0,0,1,0,0,0,0,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,25,0,0,0,0
2023-08-22T00,77,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,4,1,0,0,0,5,0,0,2,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,0,0,2,0,0,0,35,0,0,1,0
2023-08-22T01,85,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,9,1,0,3,0,0,0,0,2,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,4,0,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,1,0,0,0,36,0,0,2,0
2023-08-22T02,71,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,0,0,0,4,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,1,0,0,0,30,0,0,0,0
2023-08-22T03,70,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,5,0,0,0,0,5,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,0,0,0,0,3,0,0,2,0,1,0,30,0,1,0,0
2023-08-22T04,58,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,5,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,1,0,1,1,0,0,0,21,0,1,0,0
2023-08-22T05,43,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,5,0,0,0,0,0,0,0,1,0,0,0,15,0,0,1,0
2023-08-22T06,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,3,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,3,0,0,0,23,0,0,4,0
2023-08-22T07,71,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,4,0,1,0,19,0,0,2,0
2023-08-22T08,74,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,4,0,0,0,0,9,0,0,0,0,2,0,0,0,4,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,1,0,0,3,0,0,0,21,0,1,2,0
2023-08-22T09,75,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,4,4,0,0,0,2,0,1,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,3,0,1,0,18,0,0,0,0
