bucket,total,--,AE,AR,AT,AU,AZ,BA,BD,BE,BG,BO,BR,BY,CA,CH,CL,CN,CO,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GL,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JP,KE,KH,KR,KZ,LB,LK,LT,LU,LV,MA,MC,MK,MM,MN,MO,MR,MX,MY,NG,NL,NO,NZ,PA,PE,PH,PK,PL,PR,PS,PT,PY,RO,RU,RW,SC,SE,SG,SK,SV,TH,TN,TR,TW,TZ,UA,US,UY,UZ,VE,VN,ZA,ZM,ZW
2023-06-05T02,107,2,0,1,0,1,0,0,0,0,0,0,0,0,7,1,1,3,0,0,8,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8,0,0,2,0,0,0,0,0,45,0,0,0,0,0,0,0
2023-06-05T03,169,4,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,7,0,0,5,0,1,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,13,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,0,0,1,0,0,0,0,0,101,0,0,0,1,0,0,0
2023-06-05T04,146,3,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,15,0,1,0,0,0,1,0,1,63,0,0,0,0,0,0,0
2023-06-05T05,106,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,6,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,1,4,0,0,0,0,1,51,0,0,0,1,0,0,0
2023-06-05T06,95,3,0,0,0,1,0,0,1,0,0,0,0,0,4,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,6,0,0,1,0,0,0,0,0,39,0,0,0,0,0,0,0
2023-06-05T07,143,2,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,5,0,0,8,0,0,0,0,0,0,1,0,0,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,10,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,3,0,2,0,0,0,0,0,1,0,0,0,5,0,0,2,0,0,1,0,2,72,0,0,0,0,0,0,0
2023-06-05T08,148,3,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,2,1,0,9,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6,9,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,7,0,0,4,0,0,1,0,0,74,0,0,0,0,0,0,0
2023-06-05T09,118,4,0,0,0,4,0,0,0,1,0,0,0,0,2,0,0,4,0,1,6,0,0,0,0,0,0,2,0,0,2,12,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,3,0,1,0,0,0,0,1,2,0,0,0,5,0,0,0,0,0,2,0,0,49,0,0,0,0,0,0,0
2023-06-05T10,93,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,1,0,0,3,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,10,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,2,0,0,1,0,1,35,0,0,0,0,0,0,0
2023-06-05T11,117,4,0,0,0,1,0,0,0,1,0,0,1,0,1,2,0,5,0,0,13,0,1,0,0,0,0,2,0,0,3,10,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,5,0,0,5,0,1,7,0,2,26,0,0,1,0,0,0,0
2023-06-05T12,88,4,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,7,0,0,15,0,1,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,5,1,0,8,0,0,4,0,0,11,0,0,0,0,0,0,0
2023-06-05T13,122,2,1,0,0,0,0,0,0,1,0,0,1,1,2,0,0,23,0,0,8,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,6,0,1,18,0,2,7,0,0,24,0,0,0,0,0,0,0
2023-06-05T14,188,3,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,29,0,0,27,0,0,0,0,0,0,1,0,0,7,5,1,0,0,0,0,0,0,0,0,0,2,0,1,0,3,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,0,0,16,0,2,4,0,1,58,0,0,0,0,0,0,0
2023-06-05T15,164,3,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,23,0,0,23,0,0,0,0,0,0,2,0,0,8,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,5,0,0,15,1,1,3,0,1,31,0,0,0,0,0,0,0
2023-06-05T16,156,3,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,26,0,0,28,0,0,0,0,0,0,3,0,0,6,7,0,0,2,0,0,0,0,0,0,1,0,0,0,0,14,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,2,7,0,0,12,1,1,1,0,3,17,0,0,0,0,0,0,0
2023-06-05T17,209,2,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,28,0,0,45,0,0,0,0,0,0,5,0,1,7,6,1,0,1,0,0,0,0,1,0,2,0,0,0,0,11,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,8,3,0,0,0,0,1,2,0,0,0,0,0,4,0,0,1,13,0,0,15,0,3,0,0,2,36,0,0,0,0,0,0,0
