bucket,total,--,AE,AM,AR,AT,AU,AZ,BA,BD,BE,BG,BO,BR,BW,BY,CA,CH,CL,CM,CN,CO,CR,CY,CZ,DE,DK,DZ,EC,EE,ES,ET,FI,FR,GB,GE,GF,GH,GI,GR,GY,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KE,KG,KH,KR,KW,KZ,LA,LB,LK,LT,LU,LV,MA,MK,MM,MO,MQ,MU,MX,MY,NG,NL,NO,NZ,PE,PH,PK,PL,PR,PT,PY,RO,RS,RU,RW,SA,SC,SE,SG,SK,TG,TH,TN,TR,TW,UA,UG,US,UY,UZ,VE,VN,ZA,ZM
2023-11-27T19,185,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,9,3,0,0,17,0,0,0,0,39,0,0,0,0,3,0,0,9,14,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,11,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,1,0,0,0,1,0,1,0,3,0,0,0,4,5,0,0,11,0,1,0,0,0,22,0,0,0,0,0,0
2023-11-27T20,200,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,10,2,0,0,18,0,0,0,0,41,1,0,0,0,2,0,0,6,13,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,20,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,2,0,1,0,2,0,1,0,0,0,5,6,0,0,6,0,2,1,1,0,34,0,0,0,0,0,0
2023-11-27T21,184,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5,1,0,0,22,0,0,0,0,30,1,0,0,0,0,0,0,8,15,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,19,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,13,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,4,8,0,0,2,0,2,0,0,0,33,0,0,0,0,0,0
2023-11-27T22,121,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,1,3,0,0,9,0,0,0,0,21,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,11,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,1,2,0,0,0,1,0,2,0,0,0,1,0,0,0,1,5,0,0,3,0,0,0,1,0,19,0,0,0,0,0,0
2023-11-27T23,115,3,0,1,2,0,1,0,0,1,0,0,0,1,0,0,9,2,0,0,9,0,0,0,0,9,0,0,0,0,2,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,7,0,1,0,0,0,0,1,1,0,0,0,4,0,0,0,2,5,0,0,2,0,0,0,0,0,29,0,0,0,1,0,0
2023-11-28T00,86,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,11,0,1,0,4,0,0,0,0,7,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,5,0,0,2,0,0,1,0,0,24,0,0,0,1,0,0
2023-11-28T01,101,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,1,7,0,0,0,1,7,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,5,0,0,2,0,0,1,0,0,44,0,0,0,0,0,0
2023-11-28T02,131,3,0,0,0,1,0,0,0,1,0,0,0,2,0,0,14,0,0,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,5,0,0,2,0,0,1,0,0,69,0,1,0,1,0,0
2023-11-28T03,69,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,4,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,3,0,0,1,0,0,33,0,0,0,0,0,0
2023-11-28T04,100,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,5,0,0,3,0,0,0,0,0,52,0,0,0,0,0,0
2023-11-28T05,84,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,4,0,0,0,6,0,0,0,1,4,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,1,0,0,39,0,0,0,0,0,0
