bucket,total,--,AE,AM,AR,AT,AU,BA,BB,BD,BE,BG,BH,BO,BR,BY,CA,CH,CI,CL,CN,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FJ,FR,GB,GE,GH,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JO,JP,KE,KH,KR,KW,KZ,LA,LB,LK,LT,LU,LV,MA,MK,MM,MN,MO,MT,MX,MY,MZ,NG,NL,NO,NZ,PA,PE,PH,PK,PL,PS,PT,PY,RO,RS,RU,RW,SA,SE,SG,SI,SK,TH,TN,TR,TW,UA,US,UY,UZ,VE,VN,ZA
2023-10-02T17,173,1,0,0,2,0,0,0,0,1,2,0,0,0,2,0,5,0,0,0,20,0,0,0,0,24,0,0,0,0,0,0,2,0,0,0,9,11,0,0,0,0,1,0,0,0,1,0,1,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0,2,5,0,1,12,0,2,1,0,33,0,0,0,0,0
2023-10-02T18,198,1,0,0,5,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,10,0,0,0,0,36,0,0,0,1,0,0,3,0,0,0,4,11,0,0,0,0,3,1,1,0,0,1,4,0,0,16,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,21,1,0,0,0,1,0,2,0,3,0,1,0,3,0,0,2,6,0,0,10,0,1,1,0,31,0,0,0,1,0
2023-10-02T19,224,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,5,1,0,1,12,0,0,0,0,36,0,0,0,0,0,0,3,0,0,0,8,10,0,0,2,0,1,1,0,1,0,0,4,1,0,11,1,5,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,1,0,2,0,2,0,2,0,0,3,5,0,0,5,0,1,1,0,70,0,0,0,2,0
2023-10-02T20,170,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,11,0,0,0,0,29,0,0,0,0,0,0,1,0,0,0,7,9,0,0,3,0,1,0,0,1,0,0,5,0,0,18,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,3,5,0,0,3,0,2,1,0,36,0,0,1,0,0
2023-10-02T21,153,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,7,2,0,0,14,0,0,0,0,12,0,0,0,0,0,1,1,0,0,0,12,12,0,0,0,0,1,0,0,1,0,0,2,0,0,22,0,4,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,6,0,0,2,0,1,0,0,31,0,0,0,0,0
2023-10-02T22,129,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,11,2,0,0,4,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,5,12,0,0,0,0,3,0,0,0,0,0,2,0,0,5,0,5,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,1,5,0,0,2,0,2,1,0,36,0,0,0,1,0
2023-10-02T23,141,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,2,0,0,0,0,1,0,0,0,5,0,10,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,5,0,0,2,0,0,1,0,65,0,0,0,0,0
2023-10-03T00,132,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,6,0,0,2,0,3,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,5,0,0,2,0,0,0,0,78,0,0,0,0,1
2023-10-03T01,81,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,10,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,1,0,0,0,0,34,0,0,0,1,0
2023-10-03T02,62,3,0,0,1,1,1,0,0,1,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,23,0,0,0,0,0
2023-10-03T03,75,2,0,0,0,0,2,0,0,1,0,0,0,1,0,0,5,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,1,0,1,0,31,0,0,0,0,0
2023-10-03T04,78,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,2,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,4,1,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,5,0,0,0,1,0,0,0,25,0,0,0,0,0
2023-10-03T05,56,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,1,0,0,0,0,19,0,0,0,0,1
2023-10-03T06,75,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,5,0,0,0,0,0,2,0,0,0,5,0,0,0,0,1,1,0,30,0,0,0,0,0
2023-10-03T07,78,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,1,0,0,2,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3,0,0,0,1,0,1,0,0,0,8,0,0,0,0,0,1,0,28,0,0,0,0,0
2023-10-03T08,78,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,1,1,0,0,0,18,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1,5,0,0,2,0,0,1,0,22,0,0,0,1,0
2023-10-03T09,69,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,13,0,0,0,0,0,0,2,0,0,0,2,1,0,0,1,0,2,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,1,0,18,0,0,0,0,0
2023-10-03T10,71,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,14,1,0,0,0,0,0,1,0,0,0,4,2,0,0,0,0,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,6,0,0,3,0,0,1,1,17,0,0,0,0,0
2023-10-03T11,116,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,15,0,0,0,0,0,0,1,0,1,0,5,2,0,0,0,0,1,0,0,0,0,1,1,0,0,5,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,7,0,0,0,0,0,6,0,41,0,0,0,1,0
