bucket,total,--,AE,AR,AT,AU,BA,BD,BE,BG,BH,BN,BO,BR,BY,CA,CH,CL,CM,CN,CO,CR,CZ,DE,DK,DM,DO,DZ,EE,EG,ES,ET,FI,FR,GB,GE,GH,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JO,JP,KE,KH,KR,KY,KZ,LA,LB,LK,LT,LU,LV,MA,MD,MK,MM,MN,MO,MR,MU,MX,MY,NA,NG,NL,NO,NZ,PA,PE,PH,PK,PL,PT,PY,RO,RU,RW,SA,SC,SE,SG,SK,SN,TG,TH,TN,TR,TW,TZ,UA,UG,US,UY,UZ,VE,VN,ZA,ZW
2023-06-25T22,132,4,0,2,0,0,2,1,1,0,0,0,0,5,0,6,0,1,0,7,1,0,0,9,0,0,0,0,0,0,1,2,0,4,8,0,0,0,0,1,0,0,1,0,0,1,0,0,14,0,4,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,7,0,0,0,1,0,0,0,0,2,0,31,0,0,0,0,0,0
2023-06-25T23,117,6,0,1,0,0,1,1,2,0,0,0,0,1,0,10,0,1,0,9,1,0,0,6,0,1,0,0,0,0,1,1,0,2,4,0,0,0,0,1,0,0,1,0,0,2,0,0,5,0,2,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,1,0,0,1,0,36,0,0,0,0,0,0
2023-06-26T00,113,3,0,0,0,2,1,1,0,0,0,0,0,0,0,10,1,2,0,11,0,0,0,4,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,4,0,0,4,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,7,0,0,0,1,0,1,0,0,1,0,38,0,0,0,0,0,0
2023-06-26T01,116,6,0,0,0,1,1,1,0,0,0,0,0,3,0,10,1,2,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,2,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,8,0,0,0,1,0,0,0,0,1,0,41,0,0,1,0,0,0
2023-06-26T02,78,4,0,1,0,0,0,2,0,0,0,0,0,1,0,5,0,0,0,7,0,0,0,2,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,2,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6,0,0,0,2,0,0,2,0,1,0,20,0,0,0,0,0,0
2023-06-26T03,73,2,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,3,1,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,1,0,1,1,0,1,0,21,0,0,0,0,0,0
2023-06-26T04,77,2,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,22,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,5,0,0,0,1,0,0,2,0,1,0,22,0,0,0,0,0,0
2023-06-26T05,78,2,0,1,0,1,0,1,0,0,0,0,0,0,0,4,0,1,0,25,0,0,0,5,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,5,0,0,0,0,0,0,2,0,0,0,16,0,0,0,0,0,0
2023-06-26T06,106,2,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,21,0,0,0,5,0,0,0,0,0,0,0,0,1,2,4,0,0,1,0,1,1,0,2,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,3,0,0,0,2,0,0,0,0,5,0,0,0,2,0,2,2,0,1,0,28,0,0,0,0,0,0
2023-06-26T07,108,1,0,0,0,1,0,3,0,0,0,0,0,0,0,2,0,0,0,31,0,0,0,10,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,1,0,0,4,0,0,3,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,28,0,0,0,0,0,0
