bucket,total,--,AD,AE,AM,AO,AR,AT,AU,BA,BB,BD,BE,BF,BG,BH,BO,BR,BY,CA,CH,CL,CM,CN,CO,CR,CV,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GE,GR,GT,GY,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JE,JP,KE,KG,KH,KR,KW,KZ,LA,LT,LU,LV,MA,MD,MG,MM,MO,MQ,MT,MU,MX,MY,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PT,PY,RO,RS,RU,RW,SA,SC,SE,SG,SI,SK,SN,SR,TH,TM,TN,TR,TT,TW,TZ,UA,US,UY,UZ,VE,VN,ZA,ZM,ZW
2023-02-06T06,61,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,1,7,0,1,0,0,1,0,0,1,0,2,0,0,19,0,0,0,0,0,0,0
2023-02-06T07,62,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,1,0,1,22,0,0,0,0,0,0,0
2023-02-06T08,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,14,0,0,0,0,0,0,0
2023-02-06T09,59,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,5,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1,0,0,13,0,0,0,0,0,0,0
2023-02-06T10,86,4,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2,0,2,1,0,0,1,0,0,0,0,0,14,0,0,0,0,0,0,1,1,5,6,0,0,0,0,0,0,0,1,0,0,1,0,0,8,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,6,0,0,0,0,1,0,0,0,0,3,0,0,17,0,0,0,1,0,0,0
2023-02-06T11,114,2,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,6,0,2,1,1,0,5,0,0,0,0,1,11,0,0,0,0,0,0,1,1,5,3,0,1,1,0,2,0,2,2,0,0,2,1,1,7,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,5,0,0,0,0,1,0,0,0,0,6,0,0,19,0,0,0,0,0,0,1
2023-02-06T12,119,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,4,0,4,1,1,0,3,0,0,0,0,1,9,0,0,0,0,0,0,3,0,3,7,0,0,1,0,0,0,1,1,0,0,1,1,1,4,0,3,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,1,6,0,0,0,0,11,0,0,2,0,6,0,0,21,0,0,0,0,0,0,1
2023-02-06T13,116,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,5,0,0,0,6,0,0,0,0,0,16,0,0,0,0,0,0,1,1,4,4,0,0,0,0,4,0,0,3,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,5,0,0,0,0,7,0,0,0,0,10,0,0,21,0,0,0,0,0,0,1
2023-02-06T14,140,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,1,0,0,17,0,0,0,0,0,15,0,1,0,0,0,0,0,0,4,6,0,0,0,0,4,0,0,3,0,0,3,0,0,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,2,2,1,0,0,0,0,0,5,0,0,0,1,5,0,0,0,0,9,0,0,1,0,11,0,1,24,0,0,0,0,0,0,0
2023-02-06T15,165,3,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,11,0,0,0,7,0,0,0,0,0,20,0,0,1,0,0,0,0,0,12,10,1,1,0,0,2,0,0,2,0,0,2,0,0,13,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,1,0,0,2,3,0,0,0,1,6,0,0,0,0,13,0,0,3,0,5,0,4,21,0,1,0,0,1,0,0
2023-02-06T16,152,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,3,0,0,0,2,0,0,0,0,0,31,0,0,0,0,0,0,2,0,12,9,1,1,0,0,0,0,0,1,0,0,0,0,0,15,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,0,1,2,2,0,0,0,1,7,0,0,0,0,12,0,0,2,0,3,0,0,27,0,1,0,1,0,0,0
2023-02-06T17,199,3,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,3,0,5,0,0,0,8,1,0,0,0,0,36,0,0,0,0,0,0,3,0,15,9,0,1,0,0,1,0,0,2,0,0,3,0,0,27,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9,2,0,0,0,0,1,0,0,0,0,2,2,5,0,0,0,4,6,0,0,0,0,11,0,0,2,0,3,0,0,24,0,0,0,1,0,0,0
