bucket,total,--,AE,AL,AM,AR,AT,AU,BA,BB,BD,BE,BF,BG,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CV,CZ,DE,DK,DO,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GR,HK,HR,HT,HU,ID,IE,IL,IN,IQ,IR,IT,JM,JO,JP,KE,KH,KR,KW,KZ,LA,LB,LK,LT,LU,LV,MA,MD,MK,MM,MO,MX,MY,NA,NG,NI,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PT,PY,RO,RS,RU,RW,SC,SE,SG,SI,SK,SO,TH,TN,TR,TW,TZ,UA,US,UY,UZ,VE,VN,WS,ZA
2023-08-06T22,120,3,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,3,1,0,0,0,10,0,0,0,0,16,0,0,0,0,0,2,0,0,6,8,0,0,0,2,0,0,0,0,0,0,1,0,0,5,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,2,0,1,0,0,1,3,0,0,0,7,0,0,0,2,0,1,0,0,1,28,0,0,0,0,0,0
2023-08-06T23,108,5,0,0,0,3,0,0,0,2,0,0,0,0,0,1,0,10,1,0,0,0,14,0,0,0,0,6,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,2,0,1,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,1,32,1,0,0,1,0,0
2023-08-07T00,90,4,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,6,0,0,1,0,17,0,0,0,0,5,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,6,0,0,0,0,0,1,0,0,0,30,1,0,0,0,0,0
2023-08-07T01,79,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,13,0,0,0,0,4,0,0,0,0,0,1,0,0,1,5,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,3,0,0,0,6,0,0,0,3,0,0,1,0,1,24,0,0,0,0,0,0
2023-08-07T02,77,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,14,0,0,0,0,3,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,1,6,0,0,0,3,0,0,0,0,0,28,0,0,0,0,0,0
2023-08-07T03,76,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,15,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,4,1,0,0,7,0,0,1,2,0,0,0,0,1,22,0,0,0,0,0,0
2023-08-07T04,69,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,16,0,0,0,0,7,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,2,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,17,0,0,0,1,0,0
2023-08-07T05,76,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,13,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,2,0,0,0,0,0,3,0,0,1,6,0,0,0,1,0,0,0,0,0,22,0,0,0,0,0,0
2023-08-07T06,89,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,16,0,0,0,1,6,0,0,0,0,0,0,1,1,1,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,4,0,0,0,0,0,5,0,0,0,6,0,0,0,2,0,0,0,0,1,24,0,0,0,0,0,0
2023-08-07T07,64,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,12,0,0,0,0,4,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,4,0,0,0,6,0,0,0,1,0,0,2,0,0,15,0,0,0,0,0,0
