bucket,total,--,AE,AL,AM,AR,AT,AU,AZ,BA,BD,BE,BF,BG,BO,BR,BY,CA,CH,CI,CL,CN,CO,CR,CY,CZ,DE,DK,DM,DO,EC,EG,ES,FI,FR,GB,GH,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JO,JP,KG,KH,KR,KW,KZ,LA,LB,LK,LT,LU,LV,MA,MC,MK,MN,MO,MX,MY,MZ,NA,NG,NL,NO,NZ,PA,PE,PH,PK,PL,PR,PT,PY,RO,RS,RU,RW,SA,SC,SE,SG,SI,SK,SR,SY,TH,TR,TT,TW,TZ,UA,UG,US,UY,UZ,VE,VN,WS,ZA,ZM,ZW
2023-05-14T10,106,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,13,0,0,0,0,15,0,0,0,0,0,5,0,3,5,0,0,0,0,0,0,0,0,5,0,0,0,0,1,3,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,2,0,2,0,1,0,0,0,4,0,0,0,1,5,0,0,0,0,6,1,0,3,0,1,0,9,0,0,0,1,0,0,0,0
2023-05-14T11,89,4,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,8,0,0,0,0,18,0,0,0,0,0,3,0,5,5,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,2,0,1,0,1,0,0,0,1,0,0,0,1,5,0,0,1,0,4,1,0,1,0,0,0,6,0,0,0,0,0,0,0,0
2023-05-14T12,101,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,14,0,0,0,0,15,0,0,0,0,0,4,0,9,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,5,3,0,2,0,0,0,12,0,0,0,0,0,0,0,0
2023-05-14T13,139,2,0,0,0,2,1,2,1,0,0,0,0,1,0,1,0,1,0,0,0,16,0,0,0,0,18,1,0,0,0,0,1,0,8,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,1,0,1,0,3,0,0,0,1,0,0,0,2,6,0,0,0,0,16,0,0,5,0,0,0,13,0,0,0,0,0,0,0,0
2023-05-14T14,159,3,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,16,0,0,0,1,23,0,0,0,0,0,1,0,10,8,0,0,0,6,0,0,1,0,0,0,0,0,0,0,16,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11,0,0,0,0,2,0,2,0,2,0,0,0,6,0,0,0,1,5,0,0,0,0,16,0,0,4,0,0,0,13,0,0,0,0,0,0,0,0
2023-05-14T15,180,3,0,0,0,0,2,0,1,0,0,0,0,0,1,3,0,2,1,0,0,7,0,0,0,0,18,0,0,0,1,0,8,0,11,14,0,0,0,4,0,0,0,1,0,0,0,0,0,0,20,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,1,0,2,0,1,0,0,0,5,0,0,0,3,5,0,0,0,0,12,0,0,8,0,1,0,25,0,0,0,1,0,0,1,0
2023-05-14T16,143,5,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2,0,0,0,20,0,0,0,0,19,0,0,0,0,0,7,0,10,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,19,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,1,0,0,0,0,0,1,0,5,0,0,0,2,5,0,0,0,0,10,1,0,1,0,0,0,8,0,0,0,2,0,0,0,0
2023-05-14T17,183,3,0,0,0,0,1,0,1,1,0,1,0,0,0,2,0,6,1,0,1,18,0,0,0,0,36,0,0,0,0,0,6,0,11,7,0,0,0,1,0,0,1,2,0,0,0,0,0,0,21,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,1,0,0,0,0,0,2,0,2,0,1,0,3,0,0,0,4,5,0,0,0,0,10,0,0,2,0,0,0,16,0,0,0,0,0,0,0,0
2023-05-14T18,181,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,0,0,16,0,0,0,0,38,1,0,0,0,0,7,0,3,18,0,0,0,1,0,0,0,2,0,0,0,0,0,0,12,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,17,1,0,0,0,0,0,3,0,1,0,2,0,3,0,0,0,1,5,0,0,1,0,5,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0
2023-05-14T19,173,3,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,9,2,0,0,14,0,0,0,0,32,3,0,0,0,0,6,0,10,11,0,0,0,1,0,0,0,0,0,0,1,0,0,0,16,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,14,1,0,0,0,0,0,2,0,0,0,1,0,3,0,0,0,2,7,0,0,0,0,4,0,0,0,0,0,0,16,0,0,0,1,0,1,0,0
2023-05-14T20,173,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,12,1,0,0,15,0,0,0,0,29,0,0,0,0,0,3,2,4,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,2,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,2,8,0,0,0,0,4,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0
2023-05-14T21,149,3,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,12,0,0,0,15,0,0,0,1,20,0,0,0,0,0,1,1,5,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,1,5,0,0,0,0,1,1,0,0,0,2,0,18,0,0,0,0,0,0,0,0
2023-05-14T22,121,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,8,0,0,0,20,0,0,0,1,12,0,0,0,0,0,3,0,4,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,0,1,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,5,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,5,0,0,0,0,1,1,0,1,0,0,0,17,0,0,0,0,0,0,0,0
2023-05-14T23,110,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,20,0,0,0,1,11,0,0,0,0,0,4,0,0,8,0,0,0,1,0,0,0,0,3,1,0,0,0,0,4,0,1,0,0,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,5,0,0,0,0,0,0,0,3,0,0,0,16,0,0,0,0,0,0,0,0
2023-05-15T00,105,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,1,16,0,0,0,0,11,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,1,8,0,0,0,1,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,1,1,5,0,0,0,0,0,0,0,2,0,1,0,24,0,0,0,0,0,0,0,0
2023-05-15T01,95,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,1,14,0,0,0,1,6,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,2,0,1,0,1,0,0,0,0,0,2,0,0,0,1,6,0,0,0,0,0,0,0,2,0,0,0,28,0,0,0,0,0,0,0,0
2023-05-15T02,95,3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,12,0,0,2,16,0,0,0,1,6,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,2,0,0,1,0,0,0,30,0,0,0,0,0,0,0,0
2023-05-15T03,76,2,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,6,0,0,0,14,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,1,5,0,0,0,0,1,0,0,1,0,0,0,21,0,0,0,0,0,0,0,0
2023-05-15T04,53,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,3,1,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,1,0,0,0,19,0,0,0,1,0,0,0,0
2023-05-15T05,68,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,2,1,0,1,1,5,0,0,0,0,1,1,0,2,0,1,0,17,0,0,0,1,0,0,0,0
2023-05-15T06,65,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,9,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,1,0,1,0,0,0,18,0,0,0,0,0,0,0,0
2023-05-15T07,75,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,2,0,0,0,0,10,0,0,0,0,1,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,5,0,4,0,0,0,0,0,1,0,0,0,1,7,0,0,0,0,0,0,0,1,0,0,0,22,0,0,0,1,0,0,0,0
2023-05-15T08,87,5,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,5,1,0,0,0,10,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,7,0,0,0,1,3,0,0,1,0,0,0,27,0,0,0,1,0,0,0,0
2023-05-15T09,89,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,5,0,0,0,0,8,0,0,0,0,0,5,0,4,5,0,0,0,1,0,0,0,0,0,2,0,0,1,0,4,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,5,0,0,0,0,2,1,0,2,0,0,0,24,0,0,0,0,0,0,0,0
2023-05-15T10,96,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,17,0,0,0,0,14,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,1,5,0,0,0,0,1,0,0,3,0,0,0,17,0,0,0,0,0,0,0,0
2023-05-15T11,103,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,2,0,0,21,0,0,0,0,11,0,0,0,0,1,1,0,2,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,2,7,0,0,0,0,5,0,0,8,1,0,0,16,0,1,0,0,0,0,0,0
2023-05-15T12,135,3,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,3,0,0,0,17,0,0,0,0,17,1,0,1,0,1,0,1,4,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,9,0,0,0,0,13,4,0,5,0,1,0,17,0,1,0,1,0,0,0,0
2023-05-15T13,147,2,0,0,0,1,0,0,1,0,0,0,0,1,0,3,0,2,0,0,0,21,0,0,0,0,18,0,0,0,0,0,0,0,9,8,0,1,0,4,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,1,8,0,0,0,0,15,2,0,3,0,0,0,18,0,0,0,3,0,0,0,0
2023-05-15T14,124,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,18,0,0,0,0,16,0,0,1,0,0,1,0,8,5,0,0,0,1,0,0,0,0,0,0,1,0,1,0,9,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,6,0,0,0,0,14,2,0,3,0,0,0,13,0,0,0,0,0,0,0,0
2023-05-15T15,127,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,18,0,0,0,0,19,0,0,0,0,0,2,0,6,9,0,0,0,3,0,0,0,0,0,0,0,0,1,0,10,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,2,5,0,0,0,0,15,1,0,1,0,1,0,12,0,0,0,0,0,0,0,0
2023-05-15T16,145,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,8,0,0,0,0,24,0,0,0,0,0,1,0,12,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,14,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,13,0,0,0,0,0,0,2,0,0,0,2,1,2,0,0,0,3,5,1,0,0,0,12,0,0,0,0,0,0,19,0,0,0,1,0,0,0,0
2023-05-15T17,170,4,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,3,0,0,0,4,0,0,0,0,54,0,0,1,0,0,3,0,6,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,5,6,0,0,0,0,11,1,0,3,0,0,0,15,0,0,0,1,0,0,0,0
2023-05-15T18,216,3,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,7,0,0,0,8,0,0,0,0,61,0,0,0,0,0,6,0,7,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,0,0,0,0,0,3,0,2,0,0,0,1,0,0,0,3,6,0,0,0,0,7,2,0,2,0,1,0,17,0,0,0,1,0,0,0,0
2023-05-15T19,176,3,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,13,0,0,0,9,1,0,0,0,33,0,0,0,0,0,5,0,14,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,4,0,2,0,1,0,1,0,0,0,2,6,0,0,0,0,4,1,0,1,0,0,0,14,0,0,0,0,0,0,0,0
2023-05-15T20,171,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,5,0,0,1,8,0,0,0,0,29,0,0,0,0,0,0,1,10,18,0,0,0,1,0,0,0,0,0,0,2,0,0,0,21,0,2,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,2,7,0,1,0,0,2,1,0,0,0,0,0,26,0,0,0,0,1,1,0,0
2023-05-15T21,137,3,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,3,1,0,0,8,1,0,0,0,15,0,0,0,0,0,2,0,5,16,0,0,0,1,0,0,0,0,0,0,1,0,0,0,19,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,5,0,1,0,0,2,1,0,2,0,0,0,25,0,0,0,0,1,0,0,0
2023-05-15T22,124,2,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,6,1,0,0,19,0,0,0,0,13,0,0,0,0,0,2,0,4,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,6,0,0,0,0,1,1,0,1,0,0,0,26,0,0,0,1,0,0,0,0
2023-05-15T23,123,3,0,0,0,5,0,0,1,0,0,0,0,0,0,1,0,10,0,0,0,26,0,0,0,1,10,0,0,0,0,0,1,0,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0
2023-05-16T00,123,4,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,12,0,0,0,25,0,0,0,0,9,0,0,0,0,0,2,0,3,3,0,0,0,0,0,0,0,3,0,0,1,0,0,0,3,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,6,0,0,0,0,1,0,0,1,0,1,0,32,0,0,0,0,0,0,0,0
2023-05-16T01,121,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,10,0,0,0,23,1,0,0,2,8,0,0,0,0,0,1,0,2,4,0,0,0,1,0,0,0,3,0,0,5,0,0,0,1,0,4,0,1,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0
2023-05-16T02,118,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,12,1,0,0,18,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,4,0,0,0,0,0,6,0,0,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,2,0,0,5,0,0,0,34,0,0,0,1,0,0,0,0
2023-05-16T03,118,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,13,0,0,1,21,0,0,0,0,6,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,5,0,0,0,0,1,0,0,3,0,1,0,32,0,0,0,0,0,0,0,0
2023-05-16T04,79,4,1,0,0,2,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,9,0,0,0,1,7,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,1,0,0,0,1,0,0,0,0,0,2,0,0,1,1,6,0,0,0,0,3,0,0,0,0,1,0,19,0,0,0,1,0,0,0,0
2023-05-16T05,79,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,5,1,0,2,0,0,0,1,0,0,0,1,0,0,0,1,7,0,0,0,0,3,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
2023-05-16T06,109,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,0,0,1,9,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,2,0,1,0,0,0,1,0,0,0,1,9,0,0,0,0,2,0,0,2,0,1,0,42,0,0,0,0,0,0,0,0
2023-05-16T07,78,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,9,0,0,0,0,0,1,0,3,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,3,0,1,0,0,0,0,0,0,0,3,6,0,0,0,0,2,0,0,1,0,1,0,15,0,0,0,1,0,0,0,0
