bucket,total,--,AE,AR,AT,AU,BA,BB,BD,BE,BG,BH,BO,BR,BS,BY,BZ,CA,CH,CI,CL,CM,CN,CO,CR,CV,CZ,DE,DK,DO,DZ,EG,ES,ET,FI,FR,GB,GM,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JM,JP,KE,KG,KH,KR,KZ,LA,LB,LT,LU,LV,MA,MD,MK,MM,MN,MO,MX,MY,NC,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PS,PT,PY,RO,RS,RU,RW,SC,SD,SE,SG,SI,SK,SM,SN,TH,TN,TR,TW,UA,UG,US,UY,UZ,VE,VI,VN,ZA,ZM
2023-11-05T10,132,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,3,0,0,0,0,4,0,0,0,0,16,0,0,0,0,4,0,0,5,5,0,0,2,0,0,0,3,0,0,0,0,8,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,0,2,0,0,0,0,3,0,4,0,0,0,2,6,0,0,0,0,4,0,1,4,0,0,40,0,0,1,0,0,0,0
2023-11-05T11,155,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,6,0,0,0,1,15,1,0,0,0,3,0,0,11,6,0,0,1,0,0,0,0,0,1,0,1,10,0,7,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,1,3,0,0,0,0,1,0,2,0,0,0,4,5,0,0,0,0,5,0,1,7,0,0,38,0,0,0,0,2,0,0
2023-11-05T12,124,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,4,0,0,0,0,17,1,0,0,0,0,0,0,8,4,0,0,2,0,0,1,2,0,0,0,1,7,0,6,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,2,1,1,0,0,1,0,1,0,2,1,0,0,3,6,0,0,0,0,7,0,1,3,0,0,21,0,0,0,0,2,0,0
2023-11-05T13,151,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,0,11,0,0,0,0,0,0,1,6,5,0,0,2,0,0,1,3,0,0,0,0,5,0,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,0,4,1,0,0,0,2,0,4,0,0,0,5,11,0,0,0,0,5,0,1,4,0,0,44,0,0,0,0,1,0,1
2023-11-05T14,131,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,8,0,0,0,0,25,1,0,0,0,1,0,0,4,4,0,0,0,0,0,1,0,0,0,0,0,10,0,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,5,0,0,1,0,0,1,0,3,0,0,1,0,0,0,5,0,0,0,5,7,0,0,0,0,7,0,1,1,0,0,18,0,0,1,0,0,0,1
2023-11-05T15,202,4,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,10,1,0,0,0,5,0,0,0,0,25,0,0,0,0,1,0,0,8,6,0,0,2,0,1,0,0,1,0,0,2,12,0,12,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,9,0,0,0,0,0,3,0,1,0,0,2,0,1,0,1,0,0,0,4,8,0,0,0,0,11,0,2,3,0,0,56,0,0,1,0,0,0,0
2023-11-05T16,239,3,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,9,1,0,0,0,16,0,0,0,0,19,0,0,0,0,1,0,0,14,8,0,1,0,0,0,0,0,0,0,0,2,24,0,6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,2,0,3,0,0,0,0,1,0,2,1,1,0,6,7,0,0,0,0,8,0,2,3,0,0,85,0,0,0,0,0,2,0
2023-11-05T17,213,2,0,0,0,1,1,0,0,1,0,0,0,2,0,0,0,7,1,0,0,0,13,0,0,0,0,36,0,0,0,0,4,0,1,16,14,0,0,1,0,0,0,3,0,1,0,0,22,0,5,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,1,0,4,0,0,0,0,1,0,2,1,0,0,3,6,0,0,0,1,9,0,2,1,0,0,36,0,0,1,0,0,2,0
2023-11-05T18,221,2,0,0,0,1,1,0,0,2,0,0,0,2,0,0,0,9,2,0,0,0,17,0,0,0,1,45,0,0,0,0,3,0,1,11,10,0,0,1,0,2,0,0,0,0,0,0,17,0,5,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,13,0,0,0,0,0,0,0,2,0,0,0,0,2,0,3,0,0,0,5,5,0,0,0,1,13,0,1,1,0,0,37,0,0,0,0,0,0,0
2023-11-05T19,224,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,12,2,0,0,0,13,0,0,0,0,29,0,0,0,0,4,0,1,10,16,0,0,1,0,1,0,1,0,0,0,0,17,0,12,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,15,1,0,1,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,2,9,0,0,0,0,10,0,0,1,1,0,52,0,0,0,0,0,0,0
2023-11-05T20,178,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,12,4,0,0,0,11,0,0,0,0,23,2,0,0,0,4,0,1,8,9,0,0,1,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,17,1,0,1,0,0,0,0,3,0,0,0,0,2,0,1,0,0,0,3,5,0,0,0,0,6,0,1,1,0,0,32,0,0,0,0,0,1,0
2023-11-05T21,178,3,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,10,2,0,0,0,17,0,0,0,0,19,0,0,0,0,3,0,1,13,13,0,0,2,0,0,0,0,0,1,0,0,25,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,11,1,0,0,0,0,0,0,1,0,0,1,0,2,0,1,1,0,0,2,7,0,0,0,0,2,0,0,0,0,0,30,0,0,0,0,1,1,0
2023-11-05T22,148,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,2,0,1,0,0,19,1,0,0,0,2,0,0,8,12,0,0,0,0,0,0,0,0,1,0,0,22,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,3,0,0,1,0,1,0,3,0,0,0,1,6,0,0,0,0,3,0,0,0,0,0,31,0,0,0,0,1,3,0
2023-11-05T23,135,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,5,0,0,0,0,9,0,0,0,0,0,0,1,9,8,0,0,0,0,0,0,11,0,0,0,0,16,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,1,5,0,0,0,0,2,0,0,2,0,0,37,0,0,0,0,1,0,0
2023-11-06T00,132,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,8,7,0,0,1,0,0,0,0,0,0,1,0,7,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,4,1,0,0,1,6,0,0,0,0,1,0,0,0,0,0,53,0,0,0,0,0,0,0
2023-11-06T01,88,2,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,10,1,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,5,0,0,0,0,2,0,0,1,0,0,30,0,0,0,0,0,0,0
2023-11-06T02,104,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,6,0,0,0,0,2,0,0,0,0,0,42,0,0,0,0,0,0,0
2023-11-06T03,88,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,1,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,1,3,5,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,5,0,0,0,0,1,0,0,0,0,0,35,0,0,0,0,0,0,0
2023-11-06T04,78,2,1,0,0,3,0,0,1,0,1,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,1,3,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,1,7,0,0,0,0,3,0,0,2,0,0,27,0,0,0,0,0,0,0
2023-11-06T05,59,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,7,0,0,0,0,2,0,0,2,0,0,19,0,0,0,0,0,0,0
2023-11-06T06,60,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,4,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,1,7,0,0,0,0,3,0,0,0,0,0,15,0,0,0,0,0,0,0
2023-11-06T07,78,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,3,0,0,0,0,7,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,1,6,0,0,0,0,0,0,0,1,0,0,35,0,0,0,0,0,1,1
2023-11-06T08,97,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,5,0,0,0,0,8,0,0,0,0,1,0,0,3,2,0,0,3,0,0,0,0,0,0,0,0,2,0,3,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,1,1,0,0,2,8,0,0,0,0,3,0,0,0,0,0,38,0,0,0,0,0,0,0
2023-11-06T09,68,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,5,7,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,3,0,0,0,1,7,0,0,0,0,3,0,0,1,0,0,18,0,0,0,0,0,0,0
2023-11-06T10,80,3,0,0,0,1,0,0,1,1,0,0,0,2,0,0,0,4,0,0,0,0,4,0,0,0,0,12,0,0,0,0,0,0,0,5,3,0,0,2,0,0,0,0,0,1,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,3,0,0,0,1,5,0,0,0,0,4,0,0,1,0,0,16,0,0,0,0,0,0,0
2023-11-06T11,83,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,2,0,0,0,5,0,0,0,0,8,0,0,0,0,1,0,0,8,2,0,0,5,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,5,0,0,0,0,5,0,0,5,0,0,14,0,0,0,0,0,0,1
2023-11-06T12,129,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,1,7,0,0,0,0,0,0,0,5,5,0,1,2,0,0,0,0,0,0,0,0,3,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,2,0,1,0,0,0,0,0,0,3,0,0,0,1,6,0,0,0,0,10,0,0,4,0,0,44,0,0,0,0,1,0,0
2023-11-06T13,118,1,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,3,0,0,0,1,14,0,0,0,0,0,0,0,8,8,0,0,8,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,2,0,0,0,0,1,0,2,0,0,0,1,6,0,0,0,0,11,0,0,3,0,0,25,0,0,0,0,0,0,0
2023-11-06T14,138,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2,0,0,0,5,0,0,0,0,11,0,0,0,0,1,0,0,6,7,0,0,3,0,0,0,0,0,0,0,0,6,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,2,0,3,0,0,0,1,6,0,0,0,0,14,0,1,4,0,0,48,0,0,0,0,0,0,0
2023-11-06T15,147,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,10,1,0,0,0,6,0,0,0,0,14,0,0,0,0,1,0,0,8,8,0,1,3,0,0,0,0,0,0,0,0,10,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,5,0,0,0,0,18,0,1,1,0,0,34,0,0,0,0,1,0,0
2023-11-06T16,151,2,0,1,0,2,0,0,0,1,0,0,0,2,0,0,0,6,0,0,0,0,3,0,0,0,1,20,0,0,0,0,0,0,0,9,11,0,1,2,0,0,0,0,0,1,0,0,12,0,9,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,2,0,0,2,0,0,0,0,1,0,1,0,1,1,1,0,3,6,0,0,0,0,18,0,0,3,0,0,21,0,0,0,0,0,0,0
2023-11-06T17,197,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6,1,0,0,0,3,0,0,0,1,24,0,0,0,0,4,0,0,12,10,0,0,3,0,0,0,1,0,0,0,0,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,6,0,0,0,0,0,1,0,0,0,0,2,0,1,0,3,0,0,0,4,5,0,0,0,0,12,0,2,1,0,0,55,0,0,0,0,1,0,0
2023-11-06T18,207,4,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,1,45,0,0,0,0,4,0,0,8,11,0,1,1,0,0,0,0,0,0,0,0,17,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,8,5,0,0,0,0,5,0,3,1,0,0,58,0,0,0,0,2,0,0
2023-11-06T19,204,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,1,30,1,0,0,0,5,0,0,7,14,0,0,1,2,0,0,0,0,1,0,0,15,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,1,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,3,6,0,0,0,0,1,0,1,2,0,0,64,0,0,0,0,1,1,0
2023-11-06T20,198,1,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,13,1,0,0,0,4,0,1,0,1,22,0,0,0,0,4,0,0,9,12,0,0,0,0,0,1,0,0,0,0,0,15,0,3,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,2,1,0,0,14,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,4,5,0,0,0,0,0,0,2,0,0,0,65,0,0,0,0,0,3,1
2023-11-06T21,155,2,0,1,1,0,1,0,0,1,0,1,0,2,0,0,0,6,2,0,0,0,4,0,1,0,0,24,0,0,0,0,1,0,0,9,18,0,1,0,0,0,3,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,8,2,0,0,0,0,0,0,2,0,0,1,0,1,0,6,0,0,0,2,5,0,0,0,0,2,0,3,0,0,0,23,0,0,0,0,1,1,0
2023-11-06T22,139,2,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,12,2,0,0,0,3,0,0,0,0,19,0,0,0,0,1,0,0,5,14,0,0,0,1,0,0,1,0,0,0,0,12,0,4,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,4,6,0,0,0,0,1,0,2,0,0,0,27,0,0,0,0,0,1,0
2023-11-06T23,118,3,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,12,1,0,0,0,2,0,1,0,0,9,0,0,0,0,0,0,0,4,14,0,0,1,0,0,0,0,0,0,0,0,8,0,4,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,6,0,1,0,0,1,0,0,0,0,0,26,0,0,1,0,1,1,0
2023-11-07T00,113,3,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,9,0,0,0,0,2,1,1,0,0,10,0,0,0,0,0,0,0,5,7,0,0,1,0,0,1,0,0,0,0,0,4,0,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,3,5,0,0,0,0,1,0,0,0,0,0,37,0,0,0,0,0,0,0
2023-11-07T01,141,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,1,1,0,0,0,7,0,0,0,0,0,0,0,5,5,0,0,1,0,0,1,0,0,0,0,0,2,0,17,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,5,0,0,0,0,1,0,0,0,0,0,66,0,0,0,0,1,0,0
2023-11-07T02,88,1,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,10,1,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0
2023-11-07T03,106,1,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,9,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,1,3,0,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,5,0,0,0,0,2,0,0,0,0,0,59,0,0,0,0,0,0,0
2023-11-07T04,90,2,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,3,0,0,0,0,13,0,0,0,0,5,0,0,0,0,2,0,0,3,3,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,5,0,0,0,0,3,0,0,0,0,0,32,0,0,0,0,0,0,0
2023-11-07T05,85,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,4,0,0,0,0,22,0,0,0,1,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,6,0,0,0,0,3,0,0,0,0,0,21,0,0,0,0,0,0,0
2023-11-07T06,85,3,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,4,0,0,0,0,17,1,0,0,0,4,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,7,0,0,0,0,3,0,1,0,1,0,20,0,0,0,0,0,0,0
2023-11-07T07,99,1,0,0,0,0,0,0,2,1,1,0,0,1,0,1,0,4,0,0,0,0,22,1,0,0,0,3,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0,0,1,1,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,5,0,0,0,0,1,0,0,0,0,0,22,0,0,0,0,2,0,0
2023-11-07T08,109,2,0,1,0,2,0,0,2,0,0,0,0,2,0,0,0,4,1,0,0,0,19,1,0,0,0,8,0,0,0,0,3,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,2,0,0,0,0,2,0,1,1,0,0,1,6,0,0,0,0,3,0,0,0,1,0,24,0,0,0,0,2,0,0
2023-11-07T09,87,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,3,1,0,0,0,15,1,0,0,1,8,0,0,0,0,0,0,0,4,4,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,1,8,0,0,0,0,2,0,0,1,1,0,15,0,0,1,0,1,1,1
