bucket,total,--,AE,AL,AR,AT,AU,BA,BB,BD,BE,BG,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CW,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GH,GM,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JP,KE,KG,KH,KR,KW,KZ,LA,LB,LK,LT,LV,MA,MD,MM,MN,MO,MT,MX,MY,NC,NG,NL,NO,NZ,PE,PH,PK,PL,PT,RO,RS,RU,RW,SC,SD,SE,SG,SI,SK,TH,TN,TR,TW,UA,US,UY,UZ,VE,VN,ZA,ZM
2023-12-31T23,114,0,0,0,0,2,0,0,0,0,1,0,0,0,0,6,0,0,0,0,13,0,0,0,0,0,10,0,0,0,0,0,0,1,0,3,10,0,0,0,0,1,0,0,1,0,0,2,0,1,0,4,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,3,0,0,0,4,0,0,0,0,5,0,0,4,0,1,0,0,26,0,0,0,0,0,0
2024-01-01T00,133,1,0,0,0,1,0,0,1,0,1,0,0,1,0,6,1,0,0,0,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0,7,7,0,0,0,0,2,0,0,1,0,0,2,0,1,0,1,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,1,0,0,0,0,2,0,2,0,2,0,0,0,1,5,0,0,3,0,0,0,0,40,0,0,0,0,0,0
2024-01-01T01,127,0,0,0,0,0,1,0,0,0,0,0,0,3,0,11,1,0,0,0,12,0,0,0,0,0,11,0,0,0,1,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,2,8,0,0,2,0,0,0,0,40,0,0,0,0,0,0
2024-01-01T02,143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,17,0,0,0,0,0,11,0,0,0,1,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,3,1,1,0,5,0,0,0,2,15,0,0,1,0,0,0,0,56,0,0,0,1,0,0
2024-01-01T03,131,1,0,0,0,0,1,0,0,0,0,0,0,1,0,7,0,0,1,0,16,0,0,0,0,0,7,0,0,0,0,0,0,1,0,6,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,3,0,0,0,3,0,0,0,0,15,0,0,0,0,0,0,2,45,0,0,0,1,0,0
2024-01-01T04,134,1,1,0,0,1,3,0,0,1,0,0,0,1,0,4,0,0,1,0,8,0,0,0,0,0,7,0,0,0,0,0,0,0,1,2,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,2,0,0,0,2,0,0,0,0,8,0,0,0,0,0,1,2,61,0,0,0,0,0,0
2024-01-01T05,76,2,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,6,1,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,1,0,0,1,0,27,0,0,0,1,0,0
2024-01-01T06,117,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,9,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,3,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,1,0,0,4,0,0,0,0,7,0,0,1,0,0,1,1,62,0,0,0,2,0,0
2024-01-01T07,82,0,0,0,1,0,0,0,0,1,0,0,0,1,0,5,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,2,1,0,0,6,0,0,0,0,6,0,0,2,1,0,0,1,23,0,0,0,4,0,0
2024-01-01T08,90,1,0,0,1,0,1,0,0,2,1,1,0,2,0,4,0,0,0,0,10,1,0,0,0,0,7,0,0,0,0,0,0,0,0,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,3,0,0,0,1,6,0,0,2,1,0,1,0,25,0,0,0,0,0,0
2024-01-01T09,104,1,0,0,3,0,0,0,0,1,0,1,1,5,0,1,0,0,0,0,9,0,0,0,0,0,11,0,0,0,0,0,0,1,0,6,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,5,0,0,0,1,6,0,0,6,1,0,2,0,19,0,0,0,0,0,1
2024-01-01T10,100,0,0,0,0,1,0,0,0,1,0,0,1,2,0,2,2,0,0,0,11,0,0,0,0,0,8,1,0,0,0,0,0,2,1,3,11,0,0,0,0,1,0,0,0,0,0,4,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,1,0,1,0,3,0,1,0,1,5,0,0,3,0,1,1,1,14,0,0,0,1,0,0
