bucket,total,--,AE,AL,AR,AT,AU,BA,BB,BD,BE,BG,BJ,BN,BO,BR,BY,BZ,CA,CH,CI,CL,CM,CN,CO,CV,CZ,DE,DK,DO,DZ,EC,EG,ES,ET,FI,FR,GB,GR,GT,HK,HR,HT,HU,ID,IE,IL,IN,IR,IS,IT,JP,KE,KG,KH,KR,KW,KY,KZ,LA,LB,LT,LU,LV,MA,MC,MD,MK,MN,MO,MU,MX,MY,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PS,PT,PY,QA,RO,RS,RU,RW,SC,SD,SE,SG,SI,SK,SY,TH,TN,TR,TW,TZ,UA,US,UY,UZ,VE,VN,ZA,ZM,ZW
2023-04-02T20,222,3,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,11,1,0,0,0,1,0,0,0,43,0,0,0,0,0,2,0,0,11,14,0,0,0,0,0,0,3,0,2,3,0,0,21,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,1,0,0,2,0,0,3,0,4,0,1,0,6,8,0,0,0,0,0,1,0,0,0,52,0,0,0,0,0,0,0
2023-04-02T21,160,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,1,0,0,0,2,0,0,0,19,0,0,0,0,0,0,0,1,6,11,0,0,3,0,0,0,2,0,1,2,1,0,16,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,0,0,0,3,7,0,0,0,5,0,0,0,0,0,42,0,0,0,0,0,0,0
2023-04-02T22,143,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,8,0,0,1,0,11,0,0,0,13,0,0,0,0,0,1,0,1,8,8,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,3,7,0,0,0,1,0,0,0,0,0,59,0,0,0,0,0,0,0
2023-04-02T23,127,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,11,0,0,0,0,12,0,0,0,9,0,0,0,0,0,1,0,1,5,5,0,0,1,0,0,1,0,0,0,0,0,0,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,1,0,0,0,2,7,0,0,0,1,0,0,0,0,0,45,0,0,0,0,1,0,0
2023-04-03T00,118,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,16,0,0,0,5,0,0,0,0,0,0,0,0,4,5,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,6,0,0,0,2,0,0,1,0,0,53,0,0,0,0,0,0,0
2023-04-03T01,111,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,1,0,19,0,0,1,5,0,0,0,0,0,0,0,0,4,7,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,6,0,0,0,0,0,0,1,0,0,45,0,0,0,0,0,0,0
2023-04-03T02,103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,17,0,0,0,3,0,0,0,0,0,1,0,0,2,6,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,7,0,0,0,2,0,0,2,0,0,38,0,0,0,1,0,0,0
2023-04-03T03,106,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,13,0,0,0,3,0,0,0,0,0,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,3,0,0,54,0,0,0,1,0,0,0
2023-04-03T04,111,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,8,0,0,0,5,0,0,0,0,0,2,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,6,0,0,0,0,0,0,6,0,0,57,0,0,0,1,0,0,0
2023-04-03T05,90,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6,1,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,3,3,0,0,2,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,2,0,3,6,0,0,0,0,0,0,4,0,2,28,0,0,0,0,0,0,0
2023-04-03T06,65,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,2,4,0,0,2,0,0,0,1,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,1,0,0,2,0,0,23,0,0,0,0,0,0,0
2023-04-03T07,84,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,14,0,0,0,0,0,1,0,0,4,5,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,5,0,0,0,1,0,0,1,0,0,33,0,0,0,0,0,0,0
2023-04-03T08,101,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,7,5,0,0,1,0,0,0,0,0,0,0,2,0,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,6,0,0,0,0,0,0,1,0,0,43,0,0,0,0,1,0,0
2023-04-03T09,84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,11,0,0,0,0,0,1,0,0,4,6,0,0,3,0,0,1,0,0,0,2,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3,0,0,0,2,5,0,0,0,2,0,0,1,0,0,20,0,0,0,0,0,0,0
2023-04-03T10,128,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,10,0,0,0,0,0,2,0,0,4,3,0,0,1,0,0,0,0,0,0,2,1,0,5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6,0,0,0,3,5,0,0,0,2,0,0,0,0,1,63,0,0,0,0,0,0,0
2023-04-03T11,117,5,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,7,5,0,0,12,0,0,0,0,0,1,2,1,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,5,0,0,0,2,0,0,0,0,0,45,0,0,0,0,0,0,0
2023-04-03T12,95,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,19,0,1,0,0,0,1,0,0,5,7,0,0,3,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,5,0,0,0,2,5,0,0,0,9,0,1,5,0,0,12,0,0,0,1,0,0,0
2023-04-03T13,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,15,0,0,0,0,0,1,0,0,9,11,0,0,3,0,0,0,0,0,0,1,0,0,6,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,6,0,0,0,7,0,0,5,0,0,8,0,0,0,0,0,0,0
2023-04-03T14,130,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,11,0,0,0,14,1,0,0,0,0,2,0,0,8,7,0,0,3,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,1,0,0,0,5,7,0,0,0,8,0,2,1,0,0,34,0,0,0,1,0,0,0
2023-04-03T15,158,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,4,0,1,1,29,1,0,0,0,0,1,0,0,9,8,0,0,2,0,0,1,2,0,0,1,1,0,17,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,6,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,3,6,0,0,0,11,0,1,2,0,1,30,0,0,0,0,0,0,0
2023-04-03T16,213,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,12,0,0,0,33,1,0,0,0,0,4,0,0,8,11,0,0,3,0,0,0,0,0,0,0,1,0,14,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,7,1,0,2,0,0,0,0,4,0,0,1,0,0,0,1,3,0,0,0,6,9,0,0,0,8,0,1,2,0,2,59,0,0,0,0,1,0,0
2023-04-03T17,205,2,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,17,0,1,0,47,0,0,0,0,0,6,0,1,9,10,0,0,5,0,0,0,0,0,0,0,0,0,10,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,13,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,3,0,0,0,11,7,0,0,0,9,0,1,1,0,0,33,0,0,0,1,0,0,0
2023-04-03T18,277,3,0,0,0,0,0,1,0,0,4,0,0,0,0,1,0,0,7,1,0,1,0,12,0,0,1,60,1,0,0,0,0,4,1,0,11,19,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,28,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,5,0,0,0,4,6,0,0,0,4,0,3,1,0,0,73,0,0,0,0,0,0,0
2023-04-03T19,213,2,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,9,2,0,2,0,13,0,0,0,38,1,0,0,0,0,2,0,0,19,22,0,0,3,0,0,0,0,0,0,0,0,0,14,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19,1,0,0,0,0,0,1,3,0,0,3,1,0,1,1,0,1,0,0,8,6,0,0,0,1,0,1,1,0,1,29,0,0,0,0,0,0,0
2023-04-03T20,207,2,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,9,3,0,0,0,17,0,0,2,33,0,0,0,0,0,4,0,2,6,19,0,0,3,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,14,1,0,0,0,0,1,1,1,0,0,3,0,0,1,1,3,0,0,0,3,6,0,0,0,2,0,2,0,0,0,49,0,0,0,0,0,0,0
2023-04-03T21,175,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,8,0,0,0,0,17,0,0,1,28,0,0,0,0,1,1,0,0,6,18,0,0,3,0,0,0,0,0,0,2,0,0,13,3,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,12,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,3,8,0,0,0,2,0,0,0,0,0,30,0,0,0,2,0,0,0
2023-04-03T22,145,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,12,0,0,1,0,3,0,0,0,16,0,0,0,0,1,2,0,1,4,7,0,0,1,0,0,0,0,0,0,1,0,0,13,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,3,5,0,0,0,1,0,0,0,0,0,51,0,0,0,2,0,0,0
2023-04-03T23,112,3,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,12,1,0,0,0,1,0,0,0,10,0,0,0,0,0,2,0,1,6,9,0,0,1,0,0,0,0,0,0,3,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,6,0,0,0,0,0,2,0,0,0,30,0,0,0,1,0,0,0
2023-04-04T00,125,3,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,3,1,0,0,7,0,0,0,0,0,1,0,1,3,7,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0
2023-04-04T01,85,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,3,0,0,0,4,0,0,0,0,0,1,0,0,1,3,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,6,0,0,0,1,0,0,0,0,0,38,0,0,0,0,0,0,0
2023-04-04T02,96,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,6,1,0,0,5,0,0,0,0,0,0,0,0,3,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,5,0,0,0,2,0,0,0,0,0,35,0,0,0,0,0,0,0
2023-04-04T03,110,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,6,0,0,0,0,6,0,0,0,7,0,0,0,0,0,1,0,0,7,2,0,0,2,0,0,0,3,0,0,3,1,0,1,3,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,3,5,0,0,0,3,0,0,1,0,0,32,0,0,0,2,0,0,0
2023-04-04T04,97,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,15,0,0,0,3,0,0,0,0,0,0,0,0,3,7,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,3,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,3,0,0,0,2,6,0,0,0,1,0,1,0,0,0,29,0,0,0,1,1,0,0
2023-04-04T05,83,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,16,0,0,0,5,0,0,1,0,0,0,0,0,2,4,1,0,1,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,2,8,0,0,0,4,0,0,0,0,0,18,0,0,0,0,0,0,0
2023-04-04T06,86,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,18,1,0,0,4,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,1,3,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,2,6,0,0,0,3,0,0,0,0,0,19,0,0,0,1,0,0,0
