bucket,total,--,AE,AR,AT,AU,BA,BD,BE,BG,BO,BR,BY,CA,CH,CI,CL,CN,CO,CZ,DE,DK,DO,DZ,EE,EG,ES,ET,FI,FR,GB,GR,GT,HK,HR,HU,ID,IE,IL,IN,IR,IS,IT,JO,JP,KE,KH,KR,KZ,LA,LB,LT,LU,LV,LY,MA,MC,MD,MK,MM,MO,MX,MY,NC,NG,NL,NO,NZ,PA,PE,PH,PK,PL,PR,PT,PY,RO,RS,RU,RW,SA,SC,SE,SG,SK,TG,TH,TJ,TN,TR,TW,TZ,UA,UG,US,UY,UZ,VE,VN,ZA,ZW
2023-06-11T21,144,2,0,2,0,0,1,0,2,0,0,2,0,7,2,0,0,2,0,0,16,0,0,0,0,0,4,0,1,10,15,0,0,1,0,0,0,0,1,0,1,0,13,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,6,1,0,0,0,0,0,2,0,3,0,1,0,5,0,0,0,1,8,0,0,1,0,0,1,0,0,1,0,25,0,0,0,0,0,0
2023-06-11T22,94,1,0,2,0,0,1,0,1,0,0,1,0,4,1,0,0,6,0,0,8,0,0,0,0,0,2,0,0,3,6,0,0,1,0,0,0,0,0,0,1,0,7,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,7,0,0,3,0,0,1,1,0,2,0,18,0,0,0,0,0,0
2023-06-11T23,101,1,0,2,0,0,0,0,1,0,0,2,0,11,1,0,1,4,0,0,6,0,0,0,0,0,3,0,0,3,5,0,0,1,1,0,1,0,0,0,1,0,7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,9,0,0,2,0,0,0,0,0,2,0,25,0,0,0,0,0,0
2023-06-12T00,87,3,0,2,1,0,0,0,0,0,0,1,0,5,0,0,1,2,0,0,6,0,0,0,0,0,2,0,0,2,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,3,0,0,1,0,0,0,0,36,0,0,0,0,0,0
2023-06-12T01,74,1,0,1,0,0,0,0,0,0,0,2,0,5,0,0,0,4,0,0,5,0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,2,0,33,0,0,0,0,0,0
2023-06-12T02,83,1,0,0,0,0,0,0,1,0,0,1,0,12,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,35,0,0,0,0,0,0
2023-06-12T03,73,1,0,1,0,0,0,1,0,0,0,2,0,6,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,20,0,0,2,1,0,0
2023-06-12T04,70,2,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,6,1,0,4,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,6,0,0,1,0,0,1,1,0,1,0,22,0,0,1,1,0,0
2023-06-12T05,68,1,0,1,0,2,0,0,0,0,0,0,0,3,0,0,0,1,1,0,6,0,0,1,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,2,6,0,0,2,0,0,1,0,0,0,0,19,0,0,0,0,0,0
2023-06-12T06,91,2,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,3,0,0,1,0,4,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,3,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,1,7,0,0,3,0,0,0,1,0,0,0,28,0,0,0,0,0,0
2023-06-12T07,73,1,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,2,1,0,13,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10,0,0,1,0,0,1,1,0,0,0,19,0,0,0,0,0,0
2023-06-12T08,65,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,8,0,0,3,0,0,1,0,0,0,0,16,0,0,1,0,1,0
2023-06-12T09,109,3,0,0,0,2,0,0,0,0,0,2,0,5,0,0,0,5,1,0,16,0,0,0,0,0,0,0,0,2,5,0,0,1,0,0,1,0,1,2,1,0,0,0,4,0,0,5,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,0,0,2,0,0,0,1,0,1,0,3,0,0,0,1,8,0,0,5,0,0,0,0,0,0,0,21,0,0,1,1,2,0
2023-06-12T10,92,3,0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,3,0,1,15,0,0,0,0,0,1,0,0,4,5,0,0,1,0,0,1,0,1,2,1,0,2,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,1,0,0,0,3,0,0,0,1,8,0,0,3,0,0,0,0,0,1,0,15,0,0,0,1,1,0
2023-06-12T11,88,2,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,4,0,1,12,0,1,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,7,0,0,2,0,1,1,5,0,0,0,21,0,0,0,0,0,0
2023-06-12T12,112,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,4,0,1,14,0,0,0,0,0,1,0,0,5,13,0,0,1,0,0,0,6,1,0,0,0,4,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,3,1,0,0,0,0,1,0,2,0,0,0,1,7,0,0,6,0,0,1,4,0,2,0,16,0,0,0,0,0,0
2023-06-12T13,102,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,4,0,0,14,0,0,0,0,0,1,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,2,5,0,0,7,0,0,2,5,0,1,0,16,0,0,0,0,0,0
2023-06-12T14,132,3,1,0,0,1,0,0,0,0,0,1,0,3,0,0,0,5,0,0,16,0,0,0,0,0,1,0,0,5,7,1,0,0,0,1,0,0,0,1,0,0,9,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,5,0,1,0,0,0,0,0,3,0,0,0,1,6,0,0,18,0,0,4,5,0,0,0,17,0,0,0,0,0,0
2023-06-12T15,130,4,1,2,1,0,0,0,0,0,0,1,0,3,0,0,2,1,1,0,18,0,0,0,0,0,5,0,0,5,9,0,0,0,0,1,1,0,0,2,0,0,11,0,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,2,0,1,0,1,0,1,0,3,0,0,0,1,7,0,0,14,0,1,1,2,0,2,0,14,0,0,0,0,1,0
2023-06-12T16,138,2,0,0,2,0,0,0,0,0,0,1,0,4,2,0,1,2,0,0,15,0,0,0,0,0,5,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,20,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,7,0,0,12,0,0,0,2,0,0,0,32,0,0,0,0,1,0
2023-06-12T17,176,2,0,1,1,0,1,0,0,0,0,1,0,3,2,0,0,1,0,1,30,1,0,0,0,0,4,0,0,7,12,0,0,0,0,0,0,0,1,1,0,0,20,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,11,0,0,0,0,2,0,2,0,0,0,5,0,5,0,0,1,6,5,0,0,11,0,0,1,1,0,0,0,30,0,0,0,0,0,0
2023-06-12T18,178,1,0,0,0,0,1,0,1,0,0,0,0,9,3,0,0,5,0,1,44,0,0,0,0,0,5,0,0,13,14,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,18,2,0,0,0,0,0,1,0,2,0,2,0,1,0,0,0,4,5,0,0,7,0,0,1,1,0,1,0,19,0,0,0,0,0,0
2023-06-12T19,169,1,0,0,1,0,0,0,2,0,0,1,0,6,3,0,0,5,0,2,40,0,0,0,0,0,2,0,0,9,14,0,0,0,0,0,0,0,0,1,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,16,2,0,0,0,0,0,1,0,0,0,1,0,6,0,0,0,1,7,0,0,3,0,0,0,0,0,2,0,24,0,0,0,0,2,0
2023-06-12T20,195,2,0,1,0,0,0,0,1,0,0,4,1,7,3,0,0,6,2,0,37,0,0,0,0,0,1,0,0,7,10,0,0,0,0,0,1,0,1,0,1,0,19,0,2,0,0,4,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,26,2,0,0,0,0,0,1,0,1,0,1,0,4,0,0,0,0,7,0,0,7,0,0,1,1,0,1,0,27,0,0,0,2,0,0
2023-06-12T21,131,3,0,1,0,0,0,0,1,0,0,4,0,6,0,0,0,5,0,0,16,0,0,0,0,0,2,0,0,6,12,0,0,0,0,0,1,0,1,0,0,0,14,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,13,0,0,0,0,0,0,1,0,1,0,2,0,2,0,0,0,2,5,0,0,3,0,0,0,0,0,1,0,23,0,0,0,0,0,0
2023-06-12T22,109,5,0,1,0,0,1,0,0,0,0,3,0,5,0,0,0,4,0,0,14,0,0,0,0,0,1,0,0,5,10,0,0,1,0,0,0,0,0,0,0,0,9,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,2,5,0,0,2,0,0,2,0,0,0,0,19,0,0,0,0,0,0
2023-06-12T23,100,1,0,4,0,0,1,0,0,0,0,0,0,6,0,0,0,4,0,0,11,0,0,0,0,0,1,0,0,4,8,1,0,1,0,0,0,0,0,0,0,0,4,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,1,0,0,1,0,0,0,0,28,1,0,0,1,0,0
2023-06-13T00,99,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,2,1,8,0,0,0,0,0,0,0,1,3,4,1,0,1,0,0,0,0,0,1,1,0,2,0,3,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,36,1,0,0,3,0,0
2023-06-13T01,94,2,0,0,0,1,0,0,0,0,0,2,0,3,0,0,1,6,1,0,8,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,5,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,34,0,0,0,2,0,0
2023-06-13T02,95,1,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,5,0,0,7,0,0,1,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,1,5,0,0,1,0,0,0,0,0,1,0,37,0,0,1,0,1,0
2023-06-13T03,85,2,0,1,0,0,0,1,0,0,0,2,0,6,0,0,0,5,1,0,6,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,2,0,0,0,0,0,2,0,30,0,0,1,0,0,0
2023-06-13T04,85,2,0,1,2,0,0,0,0,0,0,0,0,4,0,0,0,13,0,0,7,0,0,0,0,0,0,0,0,1,2,0,0,2,0,1,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,3,0,0,0,0,0,2,0,27,1,0,0,0,0,0
2023-06-13T05,75,2,0,1,0,1,0,0,0,1,0,0,0,3,0,0,0,17,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,2,0,0,0,2,0,1,0,21,0,0,0,0,0,0
2023-06-13T06,81,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,20,0,0,5,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,1,0,0,2,0,25,0,0,0,1,0,0
2023-06-13T07,92,1,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,18,0,0,9,0,0,0,0,0,1,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,3,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,3,0,0,0,0,0,4,0,0,0,1,8,0,0,1,0,0,0,1,0,0,0,21,0,0,0,0,0,0
2023-06-13T08,103,1,0,0,0,1,0,0,0,0,0,2,0,3,0,1,0,21,0,0,11,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,4,0,0,0,2,0,1,0,22,0,0,0,0,0,0
2023-06-13T09,94,1,0,0,0,4,0,0,0,0,0,1,0,3,0,0,0,17,0,0,8,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,2,0,0,0,0,0,1,0,24,0,0,0,0,0,0
2023-06-13T10,85,1,0,1,0,7,0,0,0,0,0,0,0,3,0,0,0,13,0,0,10,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,6,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,3,0,0,3,0,0,1,0,13,0,0,0,0,0,0
2023-06-13T11,80,1,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,9,0,0,6,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,3,0,0,1,7,0,0,0,9,0,0,0,0,0,0
2023-06-13T12,74,1,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,8,0,0,8,0,1,0,0,0,1,0,0,6,2,0,0,3,0,0,0,0,0,1,0,0,1,0,1,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,5,0,0,3,0,0,0,3,0,0,0,8,0,0,0,0,0,0
2023-06-13T13,89,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,4,0,0,11,0,0,0,0,0,0,0,0,2,5,0,0,7,0,0,0,0,0,1,0,0,2,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,7,0,0,5,0,0,0,3,0,3,0,18,0,0,0,0,0,0
2023-06-13T14,87,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,7,0,0,0,0,0,0,0,0,2,2,1,0,4,0,0,0,0,0,0,0,0,5,0,3,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,1,7,0,0,6,0,0,0,1,0,0,0,21,0,0,0,0,0,0
