bucket,total,--,AE,AR,AT,AU,BA,BD,BE,BG,BH,BO,BR,BY,BZ,CA,CH,CI,CL,CN,CO,CY,CZ,DE,DK,DO,DZ,EE,EG,ES,ET,FI,FR,GB,GH,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KH,KR,KZ,LA,LB,LT,LU,LV,MA,MC,MD,MK,MM,MO,MW,MX,MY,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PT,RO,RS,RU,RW,SE,SG,SK,TH,TR,TW,TZ,UA,UG,US,UZ,VE,VN,ZA,ZM,ZW
2023-12-11T09,67,2,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,4,2,0,0,11,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,1,7,0,4,0,1,0,0,0,14,0,0,1,0,0,0
2023-12-11T10,74,1,0,0,1,1,0,0,0,2,0,0,0,0,0,2,0,0,0,6,0,0,0,7,0,0,0,0,0,1,0,0,2,5,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,1,0,1,6,0,4,0,1,0,0,0,24,0,0,0,0,0,0
2023-12-11T11,78,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,12,0,0,0,8,0,0,0,0,0,0,0,0,4,5,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,1,1,6,0,5,0,6,0,0,0,15,0,0,0,1,0,0
2023-12-11T12,102,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,1,0,0,8,0,0,0,7,0,0,0,0,0,0,0,0,4,3,0,0,0,1,0,0,0,1,0,0,1,0,0,4,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,1,1,2,9,0,7,0,3,0,0,0,31,0,0,0,0,0,0
2023-12-11T13,140,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2,0,0,17,2,0,0,12,1,0,0,0,0,0,0,0,4,6,0,0,0,1,0,0,1,1,0,1,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,2,0,2,0,0,0,3,1,1,10,0,7,0,2,0,0,0,47,0,0,0,0,0,0
2023-12-11T14,124,2,0,0,0,2,0,0,1,2,0,0,1,0,0,2,1,0,0,9,2,0,0,9,1,0,0,0,0,1,0,0,4,8,0,0,0,1,0,0,0,0,0,1,1,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,2,0,1,0,0,0,5,0,3,6,0,12,0,2,0,0,0,30,0,0,0,0,0,0
2023-12-11T15,149,0,0,0,0,1,0,1,0,1,0,0,1,0,0,8,0,0,0,8,0,0,0,14,0,0,0,0,0,1,0,0,9,10,0,0,0,2,0,0,0,0,0,0,1,0,1,7,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,7,0,0,1,0,1,0,0,0,0,0,2,1,3,7,0,13,0,3,0,0,0,34,0,1,3,1,0,0
2023-12-11T16,156,3,0,0,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,5,0,0,0,23,0,0,0,0,1,3,0,0,12,8,0,0,0,1,0,0,0,0,0,0,2,0,1,8,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,10,0,0,1,0,1,0,1,1,1,0,6,1,3,7,0,11,1,1,0,0,0,24,0,1,3,1,0,0
2023-12-11T17,181,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,0,4,0,0,0,27,0,0,0,0,0,1,0,0,10,10,0,0,0,1,0,1,0,0,0,0,2,0,0,10,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,12,1,0,1,0,1,0,1,0,1,0,7,1,4,6,0,15,1,2,0,0,0,47,0,0,0,1,1,0
2023-12-11T18,203,1,0,0,0,1,0,0,1,1,0,0,0,0,0,7,1,0,0,14,0,0,0,38,0,0,0,0,0,2,0,0,10,15,0,0,0,1,0,1,0,1,0,0,1,0,1,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,2,0,3,0,1,0,1,0,0,0,6,1,5,8,1,10,0,1,0,0,0,41,0,0,0,0,1,0
2023-12-11T19,235,1,0,1,0,0,0,1,1,1,0,0,1,0,0,11,2,0,0,11,0,0,0,51,0,0,0,0,0,2,0,0,7,13,0,0,0,1,0,0,0,1,0,0,2,0,1,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26,2,0,0,0,1,0,3,1,0,0,5,1,3,9,0,10,0,1,0,0,0,51,0,0,0,0,0,0
