bucket,total,--,AE,AR,AT,AU,BA,BB,BD,BE,BG,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CV,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JO,JP,KE,KG,KH,KR,KW,KZ,LA,LB,LK,LT,LU,LV,MA,MD,MK,MM,MO,MT,MU,MX,MY,NC,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PS,PT,PY,RE,RO,RS,RU,RW,SC,SE,SG,SI,SK,SN,TH,TL,TN,TR,TW,UA,US,UY,VE,VN,ZA,ZM
2023-11-13T01,75,2,0,1,0,1,0,0,0,0,0,0,0,14,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,6,0,0,0,1,0,0,0,0,0,30,0,0,0,0,0
2023-11-13T02,81,2,0,0,0,2,0,0,0,0,0,0,0,6,1,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,4,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,2,0,39,0,0,0,0,1
2023-11-13T03,112,4,0,0,0,1,0,0,1,0,0,0,0,12,0,0,1,0,5,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,1,0,2,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,6,0,0,0,0,0,0,0,1,0,57,0,0,0,0,0
2023-11-13T04,74,2,0,0,0,1,0,0,1,0,0,0,0,8,0,0,0,0,7,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,1,0,0,0,0,0,0,4,1,0,1,6,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0
2023-11-13T05,64,1,0,0,0,1,0,0,1,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,4,0,0,1,5,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0
2023-11-13T06,60,1,0,0,0,2,0,0,1,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,6,0,0,0,0,0,0,0,1,0,24,0,0,0,0,0
2023-11-13T07,65,3,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,5,0,0,0,4,0,0,0,3,0,18,0,0,0,0,0
2023-11-13T08,87,4,0,0,0,1,0,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,8,0,0,0,5,0,0,0,2,0,34,0,0,0,0,0
2023-11-13T09,68,3,0,0,0,4,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,5,0,0,0,3,0,0,0,2,0,18,0,0,0,0,0
2023-11-13T10,78,4,0,0,1,1,0,0,0,0,0,0,0,8,1,0,0,0,2,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,4,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,5,0,0,0,2,0,0,0,2,0,15,0,0,0,0,0
