bucket,total,--,AE,AM,AR,AT,AU,AZ,BA,BD,BE,BG,BH,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CV,CY,CZ,DE,DK,DO,DZ,EE,EG,ES,ET,FI,FR,GB,GE,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JE,JP,KE,KH,KM,KR,KW,KZ,LA,LT,LU,LV,MA,MD,MK,MM,MN,MO,MQ,MT,MU,MV,MX,MY,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PS,PT,PY,RE,RO,RS,RU,RW,SA,SD,SE,SG,SI,SK,SZ,TH,TN,TR,TW,UA,UG,US,UY,UZ,VE,VN,WS,ZA,ZW
2023-01-01T22,148,5,0,0,0,0,1,0,0,0,0,0,0,0,1,1,10,1,0,1,0,2,0,0,0,1,22,0,0,0,0,0,2,1,0,8,14,0,0,1,0,0,0,0,0,0,0,0,0,21,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,1,0,0,1,9,0,0,0,0,0,0,0,1,0,25,0,0,0,1,0,0,0
2023-01-01T23,123,2,0,0,1,0,2,1,0,0,0,0,0,0,1,0,10,0,0,0,0,0,1,0,0,1,15,0,0,0,0,0,1,0,0,5,13,0,0,1,0,0,0,0,0,0,0,0,0,19,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,9,0,0,0,0,0,0,1,1,0,27,0,0,0,0,0,0,1
2023-01-02T00,126,3,0,0,2,0,2,1,0,0,0,0,0,0,2,0,11,0,0,0,0,1,1,0,0,0,7,0,0,0,0,0,0,0,0,2,12,0,0,1,0,0,1,1,0,1,0,0,0,8,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,9,0,0,0,0,1,0,2,0,0,41,0,0,0,3,0,0,0
2023-01-02T01,126,5,0,0,2,0,1,0,0,0,0,0,0,0,11,0,15,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,1,0,0,3,6,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,2,0,0,52,0,0,0,3,0,0,0
2023-01-02T02,83,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,0,0,0,0,10,0,0,0,0,6,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,7,0,0,0,0,0,0,3,0,0,23,0,0,0,0,0,0,0
2023-01-02T03,93,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,12,0,0,0,0,3,0,0,0,1,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,6,0,0,0,0,0,0,3,0,0,36,0,0,0,0,0,1,0
2023-01-02T04,75,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,13,0,0,0,0,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,6,0,0,0,0,0,0,2,0,0,27,0,0,0,0,0,0,0
2023-01-02T05,194,2,0,0,0,0,2,0,0,0,0,0,41,0,0,0,9,0,0,0,0,13,0,0,0,0,6,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,0,0,0,3,0,0,1,1,0,97,0,0,0,1,0,1,0
2023-01-02T06,152,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,13,0,0,0,0,7,0,0,0,0,0,0,0,0,3,5,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,2,0,0,0,1,0,98,0,0,0,0,0,0,0
2023-01-02T07,117,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,16,0,0,0,0,4,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,0,0,0,3,0,0,6,0,0,59,1,0,0,0,0,0,0
2023-01-02T08,115,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,16,0,0,0,0,6,2,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,0,0,3,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,6,0,0,0,3,0,1,3,0,0,52,0,0,0,0,0,0,0
2023-01-02T09,132,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,14,0,0,0,0,14,0,0,0,0,0,1,0,0,3,5,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,27,0,0,0,3,0,1,3,0,0,35,0,0,0,0,0,1,0
2023-01-02T10,100,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,6,0,0,0,0,12,0,0,0,0,1,2,0,0,4,8,0,0,1,0,0,0,1,0,2,0,0,0,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,0,0,1,8,0,0,0,1,0,1,7,0,0,20,0,0,0,0,0,0,0
2023-01-02T11,113,4,0,0,1,0,2,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,0,0,0,0,19,0,0,0,0,0,1,0,0,3,6,0,0,3,0,0,0,1,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,5,1,0,0,4,0,1,9,0,0,26,0,0,0,0,0,0,0
2023-01-02T12,93,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,3,0,0,0,0,5,0,0,0,0,20,0,0,0,0,0,6,0,0,2,5,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,0,0,1,6,0,0,0,2,0,1,3,0,0,15,0,0,0,0,0,0,0
2023-01-02T13,221,3,0,0,0,0,78,0,0,0,0,0,0,0,11,0,1,1,0,0,0,5,0,0,0,0,18,0,0,0,0,0,1,0,0,7,12,0,1,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,5,1,0,0,7,0,2,1,0,0,41,0,0,0,0,0,0,0
