bucket,total,--,AE,AL,AM,AO,AR,AT,AU,AZ,BA,BD,BE,BG,BH,BO,BR,BY,CA,CH,CL,CN,CO,CY,CZ,DE,DK,DO,DZ,EC,EG,ES,FI,FR,GB,GE,GH,GR,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KE,KH,KR,KZ,LA,LB,LK,LT,LU,LV,LY,MA,MK,MM,MN,MO,MR,MU,MV,MW,MX,MY,MZ,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PS,PT,PY,QA,RO,RS,RU,RW,SC,SE,SG,SI,SK,TG,TH,TR,TT,TW,TZ,UA,US,UY,UZ,VE,VN,ZA,ZM,ZW
2023-04-23T21,174,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,1,8,1,0,3,0,0,1,17,1,0,0,0,0,2,0,7,13,0,0,0,2,0,0,0,1,0,0,6,0,2,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,3,1,2,0,0,3,8,0,0,0,3,1,0,3,0,0,39,0,0,0,0,0,0,0
2023-04-23T22,164,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,1,7,0,0,6,0,0,1,11,1,0,0,0,0,3,0,3,15,0,0,0,0,0,0,0,0,0,0,2,0,0,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,2,8,0,0,0,0,1,0,1,0,2,51,0,0,0,0,0,0,0
2023-04-23T23,92,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,13,0,0,4,0,0,1,8,1,0,0,0,0,3,0,2,5,0,1,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,8,0,0,0,0,0,0,2,0,0,27,0,0,0,1,0,0,0
2023-04-24T00,119,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,17,1,0,4,0,0,1,7,1,0,0,0,0,2,1,2,8,0,0,0,0,0,0,0,1,0,0,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,8,0,0,0,0,0,0,2,0,0,39,0,0,0,0,0,0,0
2023-04-24T01,104,3,0,0,0,0,3,0,1,1,0,0,1,0,0,0,3,0,9,0,3,5,0,0,1,8,1,0,0,0,0,2,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,8,0,0,0,0,1,0,1,0,0,35,0,0,0,0,0,0,0
2023-04-24T02,77,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,10,0,2,2,0,0,1,4,1,0,0,0,0,1,0,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,5,0,0,0,0,0,0,3,0,0,29,0,0,0,0,0,0,0
2023-04-24T03,68,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,4,0,0,7,0,0,1,3,1,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,6,0,0,0,2,0,0,3,0,0,20,0,0,0,0,0,1,0
2023-04-24T04,73,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,1,1,15,0,0,1,7,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,6,0,0,0,0,0,0,3,0,0,20,0,0,0,1,0,0,0
2023-04-24T05,94,3,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,3,0,0,16,0,0,1,9,1,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,3,8,0,0,0,0,1,0,0,0,0,24,0,0,0,1,0,0,0
2023-04-24T06,87,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,12,0,0,1,8,1,0,0,0,0,2,0,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0
2023-04-24T07,77,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,16,0,0,1,8,1,0,0,0,1,3,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0,1,0,0,2,0,0,21,0,0,0,0,0,0,0
2023-04-24T08,86,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,18,0,0,1,15,1,0,0,0,0,2,0,1,4,0,0,0,2,0,0,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,5,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
2023-04-24T09,91,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,15,0,0,1,11,1,0,0,0,0,1,1,2,5,0,0,1,1,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,6,0,0,0,1,0,0,0,0,1,22,0,0,0,0,0,0,0
2023-04-24T10,88,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6,0,0,1,12,1,0,0,0,0,2,0,3,2,0,0,1,2,0,0,1,0,0,0,0,0,0,4,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2,5,0,0,0,2,0,0,2,0,1,19,0,0,0,0,0,0,0
2023-04-24T11,105,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,6,0,0,1,10,1,0,0,0,0,3,0,3,5,0,0,0,2,0,0,0,1,0,0,0,0,0,2,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,1,0,0,0,1,0,0,1,2,1,0,0,2,6,0,0,0,5,1,0,5,1,0,18,0,0,0,2,0,0,0
2023-04-24T12,120,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,4,0,0,6,0,0,1,18,1,1,0,0,0,3,1,4,7,0,0,0,2,0,0,0,1,0,0,0,0,1,2,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,6,0,0,0,5,0,0,6,1,0,21,0,0,1,3,0,0,0
2023-04-24T13,113,2,0,0,0,0,2,0,1,1,0,0,0,0,0,0,2,0,2,0,1,6,0,0,1,14,1,0,0,1,0,1,0,5,8,0,0,0,8,0,0,0,1,0,0,0,0,0,7,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,2,6,0,0,0,3,0,0,6,0,0,17,0,0,0,0,0,0,0
2023-04-24T14,118,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,4,1,0,2,0,0,1,20,1,0,0,1,0,1,1,4,6,0,0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,4,7,0,0,0,9,1,0,4,0,0,22,0,0,0,1,0,0,0
2023-04-24T15,120,1,0,0,0,0,3,1,0,2,0,0,1,0,0,0,0,0,2,0,1,2,0,0,1,28,1,0,0,0,0,2,0,6,9,0,0,0,1,0,0,0,0,0,0,0,0,0,8,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,7,0,0,0,6,0,0,2,0,0,23,0,0,0,0,0,0,0
2023-04-24T16,120,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,2,1,1,0,0,1,27,1,0,0,0,0,1,0,8,5,0,0,0,1,0,1,1,0,0,0,0,0,0,9,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,4,7,0,0,0,5,0,0,1,0,2,19,0,0,0,0,0,0,0
2023-04-24T17,163,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,4,0,0,1,0,0,1,53,1,1,0,0,0,2,0,6,9,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,2,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,1,10,5,0,0,0,5,0,0,1,0,1,18,0,0,0,1,0,0,0
2023-04-24T18,215,1,1,0,0,0,0,0,0,1,0,1,3,0,0,0,2,0,7,2,0,5,0,0,1,62,1,0,0,0,0,2,0,11,18,0,0,0,0,0,0,0,0,0,0,3,0,0,14,1,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,0,0,0,0,0,1,2,0,0,0,0,2,0,5,0,0,2,7,0,0,0,0,0,0,1,0,0,21,0,0,0,0,0,0,0
2023-04-24T19,195,2,0,0,0,0,0,0,1,1,0,1,2,0,0,0,2,0,7,1,1,5,0,0,1,34,1,0,0,0,0,3,0,12,16,0,0,0,1,0,0,1,1,0,0,2,0,0,14,4,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,0,0,1,0,0,1,0,0,0,0,2,0,5,0,0,4,7,0,0,0,2,1,0,3,0,0,25,0,1,0,0,0,0,0
2023-04-24T20,157,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,1,0,3,0,0,2,38,1,0,0,0,0,2,0,6,15,0,0,0,0,0,0,0,1,0,0,1,0,0,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,5,5,0,0,0,0,0,0,2,0,0,24,0,1,0,0,0,0,0
2023-04-24T21,117,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,4,1,0,4,0,0,1,17,1,0,0,0,0,2,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,3,6,0,0,0,1,0,0,0,0,0,19,0,0,0,0,0,0,1
2023-04-24T22,115,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,8,1,0,5,1,0,1,15,1,0,0,0,0,3,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,1,0,3,0,0,3,5,0,0,0,0,1,0,2,0,0,19,0,0,0,0,0,0,0
2023-04-24T23,97,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,8,0,3,2,1,0,1,10,1,0,0,0,0,2,0,2,5,0,0,0,0,0,0,0,1,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,1,0,2,0,0,2,5,0,0,0,1,0,0,1,0,0,29,0,0,0,0,0,0,0
2023-04-25T00,97,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6,0,1,4,0,0,1,7,1,0,0,0,0,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,6,0,0,0,1,0,0,3,0,0,38,0,1,0,1,0,0,0
2023-04-25T01,102,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,5,0,0,4,0,0,2,7,1,0,0,0,0,1,0,2,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,3,0,0,0,2,0,0,0,0,3,0,0,2,5,0,0,0,5,1,0,0,0,0,35,0,1,0,1,1,0,0
2023-04-25T02,98,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,5,0,0,1,4,1,0,0,0,0,1,0,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,3,0,0,0,2,0,0,0,0,5,0,0,2,6,0,0,0,1,0,0,1,0,2,32,0,0,0,0,1,0,0
2023-04-25T03,81,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,7,0,0,8,0,0,1,6,1,0,0,0,0,1,0,0,3,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,5,0,0,0,0,0,0,0,0,1,30,0,0,0,0,0,0,0
2023-04-25T04,66,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,3,0,0,1,4,1,0,0,0,0,1,0,4,2,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,1,1,0,1,0,0,18,0,0,0,0,1,0,0
2023-04-25T05,87,4,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,6,0,0,6,0,0,1,9,1,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,2,5,0,0,0,1,1,0,1,0,0,20,0,0,0,0,0,0,0
2023-04-25T06,91,3,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7,0,0,1,5,1,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,6,1,3,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,2,6,0,0,0,0,0,0,1,0,0,26,0,0,0,0,0,0,0
2023-04-25T07,68,1,0,0,0,0,3,0,2,1,0,0,0,0,0,0,1,0,0,0,0,3,1,0,1,9,1,0,0,0,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,5,0,0,0,2,0,0,0,0,0,20,0,0,0,0,1,0,0
2023-04-25T08,98,2,0,0,0,0,4,0,0,1,0,0,0,0,0,0,2,0,3,0,0,4,1,0,1,14,1,0,0,0,0,1,0,5,3,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,5,0,1,0,2,0,0,1,0,0,22,0,0,0,0,0,0,0
