bucket,total,--,AE,AF,AM,AR,AT,AU,AZ,BA,BD,BE,BF,BG,BO,BR,BW,BY,CA,CH,CI,CL,CN,CO,CR,CV,CZ,DE,DK,DO,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GL,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JO,JP,KE,KG,KH,KR,KZ,LA,LB,LK,LT,LU,LV,MA,MD,ME,MG,MK,MM,MN,MO,MU,MW,MX,MY,NA,NG,NI,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PT,PY,QA,RO,RS,RU,RW,SA,SC,SD,SE,SG,SK,SY,TG,TH,TM,TN,TR,TW,TZ,UA,UG,US,UY,UZ,VE,VI,VN,ZA,ZM,ZW
2023-07-17T02,168,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,19,0,0,0,0,26,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,3,0,0,0,1,0,0,4,0,0,0,0,9,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,74,1,0,0,0,0,0,0,0
2023-07-17T03,119,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,18,0,0,0,0,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1,0,0,1,0,0,1,0,48,0,0,0,0,0,0,0,0
2023-07-17T04,92,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,1,0,47,0,0,0,0,0,0,0,0
2023-07-17T05,231,1,0,0,0,1,0,1,0,0,0,1,0,0,0,3,0,0,5,0,0,0,11,0,0,0,0,20,0,0,0,0,0,1,0,0,2,8,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,11,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,140,0,0,0,0,0,0,0,0
2023-07-17T06,110,5,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,18,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,4,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,1,0,38,0,0,0,0,0,0,0,0
2023-07-17T07,94,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2,1,0,1,0,0,8,0,0,0,5,0,0,0,0,1,0,0,43,0,0,0,0,0,0,0,0
2023-07-17T08,116,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,13,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,1,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,4,0,0,1,1,0,0,0,53,0,0,0,0,0,0,0,0
2023-07-17T09,104,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,5,0,0,0,0,21,1,0,0,0,0,2,0,0,5,3,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,0,0,0,3,0,0,0,0,0,1,0,31,0,0,0,0,0,0,0,0
2023-07-17T10,107,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,18,0,0,0,0,6,1,0,0,0,0,1,0,0,4,6,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,5,0,0,0,1,0,0,0,1,0,0,0,27,0,0,0,0,0,0,0,0
2023-07-17T11,108,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,21,1,0,0,0,9,0,0,0,0,0,1,0,0,6,3,0,0,0,0,0,4,0,0,0,1,0,0,2,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,10,0,0,0,4,0,0,0,7,0,1,0,19,0,0,0,0,0,0,0,0
