bucket,total,--,AE,AL,AR,AT,AU,AZ,BA,BD,BE,BG,BJ,BO,BR,BY,CA,CH,CL,CN,CO,CR,CV,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KH,KR,KZ,LA,LB,LK,LT,LU,LV,MA,MD,MK,MO,MR,MX,MY,NG,NL,NO,NZ,PA,PE,PH,PK,PL,PS,PT,PY,RO,RS,RU,RW,SA,SC,SE,SG,SK,SN,TH,TM,TN,TR,TW,UA,UG,US,UY,VE,VN,ZA,ZM,ZW
2023-05-29T00,76,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,4,0,0,6,1,0,0,0,6,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0
2023-05-29T01,82,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4,3,0,0,0,5,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,1,0,0,26,0,0,0,0,0,0
2023-05-29T02,78,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,3,3,0,0,0,7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0
2023-05-29T03,72,3,0,0,1,0,1,0,0,0,0,0,0,0,0,1,4,0,0,3,1,0,0,0,7,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,1,0,0,0,0,1,0,26,0,0,1,0,0,0
2023-05-29T04,77,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,7,1,0,6,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,7,1,0,1,0,0,0,1,1,0,22,0,0,1,0,0,0
2023-05-29T05,90,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,13,1,0,0,0,4,2,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,1,1,8,0,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,1,0,0,0,1,2,0,22,0,0,1,0,0,0
2023-05-29T06,106,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,8,0,0,7,1,0,0,0,8,1,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,1,0,0,1,0,1,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,6,1,0,2,0,0,0,3,1,0,35,0,0,0,1,0,0
2023-05-29T07,110,4,0,0,1,0,0,0,0,0,1,0,0,0,2,0,5,1,0,4,1,0,0,0,14,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,0,0,2,0,1,1,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,8,0,0,3,0,0,0,2,1,0,30,0,0,1,1,1,0
2023-05-29T08,84,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,4,1,0,0,0,12,2,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,2,0,1,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,7,0,0,1,0,0,0,2,2,0,23,0,0,0,0,1,0
2023-05-29T09,67,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,8,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,2,0,0,0,0,0,0,18,0,0,0,1,0,0
2023-05-29T10,81,5,0,0,0,2,1,0,0,0,0,0,0,0,0,1,4,1,0,5,2,0,0,0,10,0,0,0,0,0,0,1,0,0,5,3,0,0,0,0,0,0,0,0,1,0,1,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,3,0,0,0,1,1,0,10,0,0,0,0,0,0
2023-05-29T11,91,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,5,1,0,0,0,10,0,0,0,0,0,0,1,0,0,5,2,0,0,0,0,0,0,7,0,0,0,1,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,7,0,0,0,5,1,0,14,0,0,0,0,0,0
2023-05-29T12,98,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6,0,0,3,1,0,0,0,10,1,0,0,0,0,0,1,0,0,6,6,2,0,0,0,0,0,0,0,1,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,7,1,0,7,0,0,1,2,0,0,15,0,0,1,0,0,0
