bucket,total,--,AE,AR,AT,AU,AZ,BA,BD,BE,BG,BO,BR,BY,CA,CH,CL,CM,CN,CO,CR,CY,CZ,DE,DK,DO,DZ,EG,ES,ET,FI,FR,GB,GE,GM,GR,GT,HK,HU,ID,IE,IL,IN,IR,IT,JM,JP,KG,KH,KR,KZ,LA,LB,LK,LT,LU,LV,MA,MC,MD,MK,MN,MO,MU,MX,MY,MZ,NC,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PT,PY,QA,RO,RS,RU,RW,SC,SE,SG,SI,SK,SV,TH,TM,TR,TW,UA,UG,US,UY,UZ,VE,VN,ZA,ZM,ZW
2023-04-10T02,86,2,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,19,0,0,0,0,3,0,0,0,0,0,0,0,2,2,0,0,0,1,2,0,1,0,0,1,0,0,0,2,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,1
2023-04-10T03,106,2,0,1,0,1,0,0,1,0,0,0,2,1,6,0,0,0,24,0,0,0,0,3,0,0,0,0,0,0,0,2,2,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2,6,0,0,0,1,0,0,3,1,0,29,0,0,0,1,0,0,0
2023-04-10T04,83,2,0,0,0,3,0,0,1,0,0,0,1,1,4,0,0,0,15,0,0,0,0,5,0,0,0,0,0,0,0,2,2,0,0,1,0,1,0,0,0,0,3,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,6,0,0,0,1,0,1,3,1,0,17,0,0,0,1,0,0,0
2023-04-10T05,87,2,0,1,0,1,0,0,1,0,0,0,1,0,5,0,0,0,21,0,0,0,0,5,1,0,0,0,0,0,0,1,2,0,0,0,1,2,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,2,6,0,0,0,1,0,0,1,0,0,19,0,0,0,0,0,0,0
2023-04-10T06,68,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,18,0,0,0,0,2,1,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,6,0,0,0,1,0,0,1,0,0,16,0,0,0,0,0,0,0
2023-04-10T07,92,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,19,0,0,0,1,7,0,0,0,0,0,0,0,6,4,0,0,0,0,2,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,8,0,1,0,1,0,1,0,0,0,18,0,0,0,0,0,0,0
2023-04-10T08,74,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,8,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
2023-04-10T09,103,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,2,0,0,0,17,1,0,0,0,1,0,0,7,8,0,0,0,0,2,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,1,0,0,21,0,0,0,0,0,0,0
2023-04-10T10,86,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,12,0,0,0,0,0,0,0,6,3,0,0,0,0,1,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,9,0,0,0,1,0,0,1,0,0,17,0,0,0,0,1,0,0
2023-04-10T11,101,2,0,1,0,0,0,0,0,2,0,0,0,0,1,1,0,0,7,0,0,0,0,15,0,1,0,0,0,0,0,6,4,0,0,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,8,0,0,0,5,0,1,7,0,0,19,0,0,0,1,0,0,0
2023-04-10T12,81,1,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,3,0,0,0,0,13,0,1,0,0,0,0,0,8,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,6,0,0,0,8,0,0,5,0,0,11,0,0,0,0,0,0,0
