bucket,total,--,AE,AR,AT,AU,AZ,BA,BD,BE,BG,BO,BR,BY,CA,CH,CL,CN,CO,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GR,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KE,KH,KR,KZ,LA,LK,LT,LU,LV,MA,MK,MN,MT,MU,MX,MY,NE,NG,NI,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PS,PT,PY,QA,RO,RS,RU,RW,SC,SE,SG,SK,SO,TH,TM,TN,TR,TW,TZ,UA,US,UY,UZ,VE,VN,ZA,ZM
2023-04-16T23,103,3,0,2,0,0,0,0,0,0,0,0,1,0,8,0,0,13,0,0,1,10,0,1,0,0,0,0,2,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,27,0,0,0,1,0,0
2023-04-17T00,104,1,0,1,0,0,0,0,0,0,0,0,1,0,7,0,0,16,0,0,1,11,0,0,0,0,0,0,3,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,1,0,0,33,0,0,0,1,0,0
2023-04-17T01,117,2,0,1,0,0,0,0,0,0,0,0,0,0,9,0,1,16,0,0,1,7,0,0,0,0,0,0,2,0,0,3,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,56,1,1,0,0,0,0
2023-04-17T02,92,1,0,1,0,2,0,0,0,0,0,0,2,0,10,0,0,14,0,0,1,6,0,0,0,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,5,0,0,1,0,0,0,2,0,0,28,0,1,0,0,0,0
2023-04-17T03,92,3,0,1,1,0,0,0,0,0,0,0,1,0,3,1,0,17,1,0,2,4,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,5,0,0,3,0,0,0,3,0,0,32,0,0,0,0,0,0
2023-04-17T04,60,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,5,1,0,0,0,0,0,2,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,1,0,0,0,2,0,1,19,0,0,0,0,0,0
2023-04-17T05,62,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,5,0,0,1,7,0,0,0,0,0,0,1,0,0,2,6,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,7,0,0,2,0,0,0,2,0,0,14,0,0,0,0,0,0
2023-04-17T06,87,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,1,1,8,0,0,0,0,0,0,1,0,0,4,3,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,1,0,2,0,0,1,1,0,0,38,0,0,0,0,0,0
2023-04-17T07,114,3,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,2,0,1,1,11,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,1,8,0,0,2,0,0,0,2,0,0,49,0,1,0,0,0,0
2023-04-17T08,94,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,14,0,0,0,0,0,0,1,0,0,3,8,0,0,0,0,1,0,0,0,0,0,0,0,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,4,0,0,0,3,0,0,26,0,1,0,0,0,0
2023-04-17T09,74,3,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,6,1,0,1,11,1,0,0,0,0,0,1,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,7,0,0,2,0,0,1,0,0,0,18,0,0,0,0,0,0
2023-04-17T10,69,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,3,0,0,1,10,0,0,0,0,0,0,4,0,0,5,5,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,5,0,0,1,0,0,0,1,0,0,15,0,0,0,0,0,0
2023-04-17T11,78,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,10,0,0,0,0,0,0,3,0,0,9,5,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,5,0,0,5,0,0,0,6,0,0,17,0,0,0,0,0,0
2023-04-17T12,104,1,0,1,0,1,0,0,0,0,0,0,0,0,3,0,1,7,0,0,1,17,0,1,0,0,0,0,2,0,0,6,6,0,0,2,0,0,0,0,0,0,1,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,5,1,0,10,0,0,0,4,0,0,19,0,0,0,0,0,0
2023-04-17T13,125,2,0,1,0,0,0,0,0,0,0,0,2,0,3,0,1,13,0,0,1,11,0,0,0,0,0,0,1,0,0,11,12,0,0,0,0,0,0,0,0,0,1,0,0,6,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,7,0,0,10,0,0,0,4,0,0,23,0,0,0,0,0,0
2023-04-17T14,117,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,0,0,1,13,0,0,0,0,0,0,2,0,0,11,8,0,0,4,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,5,0,0,14,0,0,1,9,0,0,20,0,0,0,0,0,0
2023-04-17T15,144,4,0,0,2,0,0,0,0,0,0,0,1,0,3,0,1,4,0,0,1,26,0,0,0,0,0,0,2,0,0,14,9,0,0,4,0,0,0,0,0,0,1,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,1,5,0,0,16,0,0,2,6,0,0,19,0,0,0,0,0,0
2023-04-17T16,178,6,1,0,1,0,0,1,0,0,0,0,0,0,4,1,1,6,0,0,1,27,0,0,0,0,0,0,5,0,0,18,9,1,1,1,0,0,0,1,0,0,0,0,0,17,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,1,0,2,0,0,1,0,2,0,0,8,7,0,0,17,0,0,2,3,0,0,21,0,0,0,0,0,0
2023-04-17T17,176,6,0,0,1,1,0,1,0,0,0,0,3,0,5,0,0,3,0,0,1,41,0,0,0,0,0,0,5,0,1,11,16,0,0,0,0,0,0,1,1,0,0,0,0,20,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,1,0,1,0,1,0,0,1,0,3,0,0,5,6,0,0,8,0,0,2,1,0,0,11,0,0,0,0,0,0
