bucket,total,--,AD,AE,AM,AO,AR,AT,AU,AZ,BA,BD,BE,BG,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GM,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JO,JP,KR,KZ,LB,LT,LU,LV,MA,MC,MD,MK,MM,MN,MO,MT,MX,MY,MZ,NA,NG,NL,NO,NZ,PA,PE,PH,PK,PL,PR,PT,PY,RO,RS,RU,RW,SA,SC,SE,SG,SI,SK,TH,TM,TR,TT,TW,TZ,UA,US,UY,UZ,VE,VN,ZA,ZW
2023-05-21T22,109,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,0,0,0,0,8,0,0,0,9,0,0,0,0,0,0,2,0,0,3,8,0,0,0,0,0,0,0,0,0,3,0,0,16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,6,0,0,1,0,2,0,0,0,2,27,0,0,0,0,0,0
2023-05-21T23,117,3,0,0,0,0,2,0,0,1,0,0,0,0,0,3,1,8,0,0,0,0,10,0,0,0,7,0,0,0,0,0,0,2,0,0,2,9,0,0,0,2,0,0,1,0,0,1,0,0,4,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,7,0,0,1,0,1,0,1,0,0,39,0,0,1,1,0,0
2023-05-22T00,96,4,0,0,0,0,1,0,0,1,0,0,0,0,0,2,1,11,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,4,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8,0,0,3,0,0,0,0,0,0,34,0,0,0,1,0,0
2023-05-22T01,79,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,8,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,3,0,0,2,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,6,0,0,4,0,0,0,1,0,0,25,0,0,0,0,0,0
2023-05-22T02,79,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,0,0,0,0,3,1,0,0,5,0,0,0,0,0,0,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,5,0,0,3,0,0,0,0,0,0,22,0,0,0,0,0,0
2023-05-22T03,77,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,8,0,0,1,0,8,1,0,0,4,0,0,0,0,0,0,1,0,1,3,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,7,0,0,1,0,0,0,0,0,1,20,0,0,0,0,0,0
2023-05-22T04,87,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11,0,0,0,0,9,1,0,0,3,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,7,0,0,1,0,0,0,0,0,1,27,0,0,0,0,0,0
2023-05-22T05,67,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,2,0,0,2,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,5,0,0,1,0,0,0,0,0,1,16,0,0,1,0,0,0
2023-05-22T06,79,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,9,0,0,0,8,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,6,0,0,2,0,0,0,1,0,0,22,0,0,1,0,0,0
2023-05-22T07,76,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,2,1,0,0,0,5,0,0,0,10,0,0,0,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,4,0,0,0,0,0,1,0,0,0,1,7,0,0,2,0,0,0,0,0,0,19,0,0,0,0,0,0
