bucket,total,--,AE,AM,AR,AT,AU,AZ,BA,BD,BE,BG,BH,BO,BR,BY,BZ,CA,CH,CI,CL,CM,CN,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JO,JP,KH,KR,KW,KZ,LA,LB,LT,LU,LV,MA,MC,MD,MK,MM,MO,MW,MX,MY,NC,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PT,PY,QA,RO,RU,RW,SA,SC,SE,SG,SI,SK,TG,TH,TL,TN,TR,TW,TZ,UA,US,UY,UZ,VE,VI,VN,ZA,ZM
2023-12-03T22,118,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,6,0,0,0,0,18,0,0,0,0,0,0,1,1,3,9,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,1,0,0,0,2,3,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,41,0,0,0,0,1,0,0
2023-12-03T23,85,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,0,0,9,0,0,0,1,12,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,6,0,0,0,2,0,0,0,1,0,0,27,0,0,0,0,0,0,0
2023-12-04T00,91,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,10,0,0,0,0,8,0,0,1,0,6,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,5,0,0,0,2,0,0,0,0,0,0,34,0,0,0,0,0,0,0
2023-12-04T01,99,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,13,0,0,0,0,9,0,0,0,0,6,0,0,0,0,0,0,1,1,1,4,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0
2023-12-04T02,97,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,12,1,0,0,0,10,0,0,0,0,6,0,0,0,0,0,0,0,0,3,4,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,7,0,0,0,2,0,0,1,0,0,0,35,0,0,0,0,1,0,0
2023-12-04T03,116,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,12,1,0,0,0,7,1,0,0,0,8,0,0,0,0,0,0,0,0,2,3,0,0,4,0,0,0,0,0,3,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,1,1,0,0,43,0,0,0,0,0,0,0
2023-12-04T04,90,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,1,0,0,1,9,0,0,0,0,0,0,0,0,2,4,0,0,2,0,0,0,0,0,1,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0
2023-12-04T05,72,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,10,0,0,0,0,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,2,2,0,0,0,6,0,0,0,1,0,0,0,0,0,0,24,0,0,0,0,0,1,0
2023-12-04T06,94,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,12,3,0,0,0,4,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,1,0,2,0,0,0,0,0,0,6,0,0,0,1,5,0,0,0,0,0,0,0,2,0,1,31,0,0,0,0,0,0,0
2023-12-04T07,87,3,0,0,0,0,5,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,14,3,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,5,0,0,1,0,5,0,0,0,2,0,0,0,1,0,0,22,0,0,0,0,0,0,0
