bucket,total,--,AE,AL,AR,AT,AU,AZ,BA,BD,BE,BG,BR,BY,CA,CH,CL,CM,CN,CO,CR,CV,CY,CZ,DE,DK,EC,EE,EG,ES,ET,FI,FR,GB,GH,GR,HK,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JP,KE,KR,KZ,LB,LT,LU,LV,MA,MK,MM,MX,MY,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PS,PT,RO,RS,RU,RW,SA,SC,SE,SG,SI,SK,SV,SY,TH,TN,TR,TW,UA,US,UY,VN,ZA,ZM
2023-09-04T16,132,2,0,0,0,2,1,0,0,0,0,0,1,0,3,2,0,0,4,0,0,0,0,0,20,1,0,0,0,2,0,1,8,10,0,0,1,1,0,0,0,0,0,0,0,12,1,0,1,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,3,0,1,0,0,2,0,0,0,3,5,0,0,0,0,7,0,0,9,0,20,0,0,0,0
2023-09-04T17,180,3,1,0,0,2,0,0,0,0,1,0,1,0,2,2,0,0,5,0,0,0,0,0,37,3,0,0,0,5,0,3,13,5,0,0,0,1,0,1,0,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,1,0,1,8,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,5,0,0,0,0,9,0,1,2,0,45,0,0,0,0
2023-09-04T18,189,1,0,0,0,1,0,0,0,0,0,0,1,0,11,3,0,0,6,0,0,0,0,0,53,2,0,0,0,6,0,0,13,13,0,0,3,0,0,0,0,1,0,0,0,5,0,0,1,0,0,1,0,0,0,0,0,1,0,0,20,2,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,2,5,0,0,0,0,5,0,2,3,0,24,0,0,0,0
2023-09-04T19,174,3,0,0,3,0,0,0,0,0,0,0,2,0,7,4,0,0,1,0,0,0,0,2,33,1,0,0,0,5,0,0,15,15,0,0,0,1,0,0,0,0,0,1,0,15,0,0,0,0,0,2,0,0,0,1,0,0,0,0,23,2,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,2,5,0,0,0,0,3,0,1,1,0,21,0,0,0,0
2023-09-04T20,149,1,0,0,2,0,0,0,0,0,2,0,1,0,8,2,0,0,2,0,0,0,0,0,21,1,0,0,0,1,0,0,17,14,0,0,0,0,0,0,0,1,0,0,0,18,0,0,1,0,0,1,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,4,0,0,1,0,1,0,0,0,2,5,0,0,0,0,6,0,2,2,0,19,0,1,0,0
2023-09-04T21,139,1,0,0,0,0,0,0,0,0,1,0,2,0,9,2,0,0,4,1,0,0,0,2,13,0,0,0,0,2,0,0,8,14,0,0,1,0,0,0,0,0,0,0,0,21,0,0,0,0,0,1,1,0,1,1,0,0,0,0,14,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,6,0,0,0,0,0,0,1,2,0,26,0,0,0,0
2023-09-04T22,112,1,0,0,1,0,0,0,0,0,0,0,1,0,7,1,0,0,1,1,0,0,0,0,12,0,0,0,0,3,0,0,5,12,0,1,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,2,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,1,0,2,0,0,5,0,0,0,1,6,0,0,0,0,1,0,0,4,0,23,0,0,0,0
2023-09-04T23,98,1,0,0,0,0,0,0,0,0,1,0,4,0,11,1,0,0,4,0,0,0,0,0,8,0,0,0,0,1,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,1,1,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,1,0,2,1,0,3,0,0,0,1,6,0,0,0,0,1,0,0,2,0,29,0,0,0,0
2023-09-05T00,106,2,1,0,0,1,0,0,0,0,1,0,4,0,9,0,0,0,2,0,0,0,0,0,6,0,0,0,0,1,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,1,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,1,0,0,1,6,0,0,0,0,2,0,1,1,0,36,0,0,0,0
2023-09-05T01,77,1,0,0,2,0,0,0,0,0,0,0,5,0,13,1,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,6,0,0,0,0,2,0,0,1,0,23,0,0,0,0
