bucket,total,--,AE,AL,AM,AR,AT,AU,AZ,BA,BD,BE,BG,BH,BO,BR,BY,CA,CH,CL,CM,CN,CO,CR,CV,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GR,HK,HR,HU,ID,IE,IL,IN,IR,IS,IT,JP,KE,KG,KH,KR,KZ,LA,LB,LK,LT,LU,LV,LY,MA,MD,MK,MM,MO,MX,MY,NA,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PT,PY,RE,RO,RS,RU,RW,SA,SC,SE,SG,SI,SK,TH,TN,TR,TW,TZ,UA,UG,US,UY,UZ,VE,VN,WS,ZA,ZM,ZW
2023-02-26T22,153,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,9,0,1,0,5,0,0,0,0,0,17,0,0,0,0,0,0,3,0,0,10,17,0,0,1,2,0,0,1,0,0,2,0,0,19,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,1,1,0,2,0,28,0,0,0,0,0,0,0,0
2023-02-26T23,102,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,7,13,0,0,0,1,0,0,0,0,0,1,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,1,7,0,0,0,0,0,1,0,0,0,23,0,0,0,0,0,0,0,0
2023-02-27T00,114,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,3,9,0,0,0,1,0,0,0,0,0,0,0,0,8,1,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,1,3,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,1,0
2023-02-27T01,106,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,5,1,0,0,0,0,5,0,0,0,0,0,0,3,0,0,3,3,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,6,0,0,2,0,0,5,0,0,0,34,0,0,0,0,0,0,1,0
2023-02-27T02,110,2,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,15,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,2,0,1,4,0,0,0,50,0,0,0,1,0,0,0,0
2023-02-27T03,110,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,5,1,0,1,0,0,6,0,0,0,0,0,0,2,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,2,0,0,3,0,0,0,49,0,0,0,1,0,1,0,0
2023-02-27T04,101,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,2,1,0,0,0,1,11,2,0,0,0,0,0,2,0,0,4,6,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,4,6,0,0,1,0,0,3,0,0,0,34,0,0,0,0,0,0,0,0
2023-02-27T05,69,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,1,3,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,2,0,1,2,0,0,0,25,0,0,0,0,0,0,0,0
2023-02-27T06,59,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,6,3,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,7,0,0,1,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0
2023-02-27T07,74,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,3,6,0,0,0,1,0,0,0,2,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,1,8,0,0,3,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
