bucket,total,--,AE,AM,AO,AR,AT,AU,BA,BD,BE,BG,BH,BO,BR,BY,BZ,CA,CH,CI,CL,CM,CN,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,ES,ET,FI,FR,GB,GE,GR,GY,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JP,KE,KG,KH,KR,KW,KZ,LA,LB,LK,LT,LU,LV,MA,MD,MG,MK,MM,MN,MO,MU,MW,MX,MY,NC,NG,NL,NO,NZ,PA,PE,PH,PK,PL,PS,PT,PY,RE,RO,RS,RU,RW,SA,SC,SE,SG,SI,SK,SO,SY,TH,TN,TR,TW,TZ,UA,UG,US,UY,UZ,VE,VN,ZA,ZM
2023-11-19T21,147,2,0,0,0,0,0,1,0,1,0,0,0,0,4,0,0,4,2,0,0,0,3,0,0,0,1,15,0,0,0,0,0,2,0,0,8,18,0,0,0,1,0,0,1,0,0,2,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,1,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,4,5,0,0,0,0,2,0,1,1,0,0,0,31,0,0,0,0,0,0
2023-11-19T22,128,1,0,0,0,0,0,1,0,1,0,0,0,0,4,0,0,7,0,0,0,0,4,0,0,0,0,12,1,0,0,0,0,3,0,0,6,17,0,0,0,0,0,0,0,0,0,2,0,0,1,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,3,5,0,0,0,0,2,0,1,1,0,0,0,21,3,0,1,0,1,0
2023-11-19T23,118,6,0,0,0,0,1,1,0,1,0,0,0,0,4,0,0,8,1,0,0,0,5,0,0,0,0,8,1,0,0,0,0,1,0,0,4,6,0,0,0,0,0,0,0,0,0,2,0,0,2,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,3,1,0,0,2,6,0,1,0,0,0,0,0,0,0,0,0,31,0,0,0,1,1,0
2023-11-20T00,111,4,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,8,1,0,0,0,1,0,0,0,0,5,0,0,0,0,0,1,0,0,1,7,0,0,0,2,0,0,0,0,0,1,0,0,1,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,7,0,1,0,0,0,0,0,0,0,0,0,47,0,0,0,1,0,0
2023-11-20T01,74,1,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,3,1,0,0,0,2,0,0,0,1,4,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
2023-11-20T02,105,1,0,1,0,1,0,1,0,2,0,0,0,0,1,0,0,11,0,0,0,0,3,0,0,0,0,3,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,2,6,0,0,0,0,3,0,0,0,0,1,0,50,0,0,0,1,0,0
2023-11-20T03,98,4,0,0,0,1,0,1,0,3,0,0,0,1,1,0,0,8,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,1,0,0,0,0,46,0,0,1,0,0,0
2023-11-20T04,89,2,0,0,0,0,0,1,0,2,0,1,0,0,0,0,1,6,1,0,0,0,13,0,0,0,0,4,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,1,0,0,0,31,0,0,0,2,0,0
2023-11-20T05,92,5,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,5,0,0,0,0,16,0,0,0,0,3,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,5,0,0,0,0,0,0,1,1,0,0,0,29,0,0,0,0,0,0
2023-11-20T06,86,3,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,4,0,0,0,0,16,0,0,0,0,5,0,0,0,0,0,1,0,1,2,3,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,5,0,0,0,0,0,0,0,1,0,0,0,24,0,0,0,0,0,0
2023-11-20T07,77,2,0,0,0,0,0,2,0,2,1,0,0,1,1,0,0,4,0,0,0,0,12,0,0,0,0,4,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,5,0,0,0,0,3,0,0,1,0,0,0,25,0,0,0,0,0,0
2023-11-20T08,85,3,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,3,0,0,0,0,14,0,0,0,0,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,6,0,0,0,0,3,0,0,4,0,0,0,22,0,0,0,0,0,0
2023-11-20T09,87,3,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,17,0,0,1,0,8,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,6,0,0,0,0,1,0,0,4,0,0,0,22,0,0,1,0,0,0
2023-11-20T10,74,5,0,0,0,0,1,3,0,1,1,0,0,0,1,0,0,0,1,0,0,0,5,1,0,0,0,9,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,1,7,0,0,0,0,0,0,0,5,0,0,0,15,0,0,0,0,0,0
2023-11-20T11,87,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,11,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,5,0,0,0,0,5,0,0,6,0,0,0,26,0,0,1,0,0,0
2023-11-20T12,88,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,5,0,0,0,0,11,0,0,4,0,0,0,26,0,0,0,0,1,0
2023-11-20T13,89,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,0,0,0,0,12,0,0,0,0,0,0,0,0,5,9,0,1,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,1,0,0,0,0,3,0,0,0,0,0,1,6,0,0,0,0,10,0,0,5,0,1,0,8,0,0,0,1,0,0
2023-11-20T14,119,3,0,0,0,2,0,2,0,0,0,0,0,0,3,0,0,2,0,0,0,0,6,0,0,0,0,15,0,0,0,0,0,0,0,1,4,8,0,1,0,5,0,0,0,0,0,1,0,0,0,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,2,0,1,0,0,0,0,2,0,2,0,0,0,3,7,0,0,0,0,10,0,0,4,0,0,0,21,0,0,1,0,2,0
2023-11-20T15,140,7,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,0,1,6,1,0,0,0,22,0,0,0,0,0,2,0,1,5,5,0,1,0,3,0,0,0,0,0,2,0,0,0,6,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,3,10,0,0,0,0,14,1,1,3,0,0,0,24,0,0,0,0,0,0
2023-11-20T16,164,5,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,4,1,0,0,0,3,0,0,0,0,30,0,0,0,0,0,0,0,3,5,5,0,0,0,4,0,0,0,0,0,4,0,0,0,13,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,1,0,0,1,0,1,0,2,0,0,2,0,4,0,0,0,3,5,0,0,0,0,15,1,1,2,0,0,0,30,0,0,0,0,0,0
2023-11-20T17,164,2,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,4,1,0,0,0,4,1,0,1,1,34,0,0,0,0,0,2,0,0,10,8,0,0,0,1,0,0,0,0,0,1,0,0,0,23,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,0,2,0,0,0,0,1,0,2,1,0,1,8,6,0,0,0,0,13,0,1,1,0,0,0,21,0,0,0,0,0,0
2023-11-20T18,199,4,0,0,0,0,1,2,0,0,1,0,0,0,1,0,0,4,0,0,0,0,7,0,0,0,0,46,0,0,0,1,0,4,0,0,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,21,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11,1,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,7,7,0,0,0,0,10,0,1,1,0,0,0,30,0,0,0,1,1,0
2023-11-20T19,218,3,0,0,0,1,1,2,0,0,2,0,0,0,0,0,0,9,1,0,0,0,12,1,0,0,1,49,0,0,0,1,0,5,0,0,9,17,0,0,0,1,0,0,0,1,0,0,0,0,0,13,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11,4,0,0,0,1,0,4,0,1,0,0,1,0,1,0,0,0,7,6,0,0,0,0,7,0,1,2,0,1,0,33,0,0,0,1,0,0
2023-11-20T20,170,4,0,0,0,1,2,3,0,0,1,1,0,0,1,0,0,6,2,0,0,0,9,0,0,0,0,29,0,0,0,0,0,3,0,0,11,13,0,0,0,1,0,0,1,0,0,1,0,0,0,12,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,16,0,0,0,0,0,0,5,0,0,0,0,2,1,2,0,0,0,4,5,1,0,0,0,4,0,2,2,0,1,0,19,0,0,0,1,0,0
2023-11-20T21,146,3,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,5,1,0,0,0,7,0,0,0,0,21,0,0,0,0,0,1,0,0,4,11,0,0,0,2,0,0,0,1,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,13,2,0,0,0,0,0,1,0,0,1,0,1,1,3,0,0,0,3,7,0,0,0,0,2,0,2,0,0,1,0,28,0,0,0,0,0,0
2023-11-20T22,130,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,6,2,0,0,0,8,2,0,0,0,14,0,0,1,0,0,1,0,0,6,16,0,0,0,0,0,0,0,0,0,2,0,0,0,14,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,6,0,0,0,0,2,0,2,0,0,0,0,23,0,0,0,1,0,0
2023-11-20T23,111,3,0,0,0,1,0,1,0,0,0,1,0,0,2,0,0,7,1,0,0,0,7,2,0,0,0,10,0,0,1,0,0,0,0,0,4,8,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,6,0,0,0,0,1,0,0,1,0,0,0,30,0,0,0,0,1,0
2023-11-21T00,105,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,6,3,0,0,1,7,0,0,0,0,10,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,6,0,0,0,0,0,0,0,1,0,1,0,42,0,0,0,0,0,0
2023-11-21T01,79,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,5,0,0,0,0,0,0,0,3,0,1,0,38,0,0,0,0,0,0
