bucket,total,--,AE,AL,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BO,BR,BW,BY,CA,CH,CI,CL,CM,CN,CO,CR,CY,CZ,DE,DK,DO,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KR,KZ,LA,LB,LT,LU,LV,MA,ME,MK,MM,MN,MU,MX,MY,NG,NL,NO,NZ,PA,PE,PH,PK,PL,PT,PY,RO,RS,RU,RW,SA,SC,SE,SG,SK,SO,SR,SY,TG,TH,TR,TW,UA,UG,US,UY,UZ,VE,VN,ZA
2023-09-11T00,73,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,5,0,0,0,0,0,0,0,1,0,0,31,0,0,0,0,0
2023-09-11T01,76,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,2,1,0,0,0,5,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,40,0,0,0,0,1
2023-09-11T02,89,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,1,1,2,0,0,51,0,0,0,0,0
2023-09-11T03,81,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,1,0,2,0,0,43,0,0,0,0,0
2023-09-11T04,56,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,2,0,0,0,0,6,0,0,0,0,0,1,0,2,0,0,23,0,0,0,0,0
2023-09-11T05,55,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,16,0,0,0,0,0
2023-09-11T06,50,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,2,0,0,1,2,0,0,0,2,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,18,0,0,0,0,0
2023-09-11T07,56,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,6,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,5,0,0,0,0,0,2,0,3,0,0,20,0,0,0,0,0
2023-09-11T08,100,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,6,0,0,0,0,8,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,6,0,0,0,0,0,2,0,3,0,0,51,0,0,0,0,0
2023-09-11T09,60,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,6,0,0,0,0,0,2,0,4,0,0,11,0,0,0,0,0
2023-09-11T10,64,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,2,0,0,1,4,0,0,0,2,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,5,0,0,0,0,0,3,0,4,2,0,14,0,0,0,1,0
2023-09-11T11,64,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,1,1,0,3,4,0,0,0,1,0,0,0,0,0,1,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,6,0,0,0,0,0,0,0,7,0,0,10,0,0,0,0,0
2023-09-11T12,88,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,8,0,0,0,0,13,0,0,0,0,0,0,0,0,4,6,0,0,1,3,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,5,1,0,0,0,0,9,0,4,0,0,15,0,0,0,0,0
2023-09-11T13,75,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,3,0,0,0,0,2,0,0,0,1,5,0,0,0,0,0,14,0,4,1,0,13,0,0,0,0,0
2023-09-11T14,105,3,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,5,1,0,0,0,3,0,0,0,1,9,0,0,0,0,0,0,0,0,4,5,0,0,0,2,0,0,1,0,0,1,0,1,6,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,5,0,0,0,0,0,18,0,7,1,0,16,0,0,0,0,0
2023-09-11T15,137,1,0,0,2,1,0,0,0,0,0,0,1,0,2,0,0,5,1,0,0,0,6,0,0,0,0,10,0,0,0,0,0,4,0,0,8,5,0,0,0,3,0,0,0,0,0,0,0,0,12,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0,0,18,0,11,0,0,31,0,0,0,0,0
2023-09-11T16,141,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,2,0,2,0,2,0,0,0,0,18,0,0,0,0,0,1,0,0,7,6,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,2,0,2,0,0,0,3,6,1,0,0,0,0,15,0,8,0,0,37,0,0,0,0,0
2023-09-11T17,148,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6,0,0,1,0,1,0,0,0,0,36,0,0,0,0,0,5,0,0,7,7,0,0,0,5,0,0,0,0,0,2,1,1,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6,1,0,0,0,1,0,2,2,0,0,0,2,0,0,0,7,5,0,0,0,0,0,5,0,7,0,0,21,0,0,0,0,0
2023-09-11T18,170,2,0,0,1,0,3,0,0,0,0,0,2,0,3,0,0,4,1,0,0,0,1,0,0,0,0,39,0,0,0,0,0,6,0,0,8,14,0,0,0,3,0,0,0,0,0,0,0,0,6,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,2,0,0,0,5,3,0,0,0,3,0,0,0,5,5,0,0,0,0,0,3,1,5,1,0,25,0,0,0,0,0
2023-09-11T19,176,1,0,0,4,0,0,0,0,0,0,2,0,0,1,0,0,7,3,0,0,0,4,0,0,0,0,27,0,0,0,0,0,3,0,1,11,15,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,1,0,2,0,0,0,4,0,0,1,0,0,0,0,1,3,5,0,0,0,0,0,4,5,1,0,0,37,0,0,0,0,0
2023-09-11T20,165,2,0,0,2,0,0,0,0,0,0,3,0,0,1,0,0,7,2,0,0,0,4,0,0,0,0,25,0,0,0,0,0,2,0,1,10,21,0,0,0,1,0,0,0,1,0,1,0,0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,1,5,0,0,1,0,0,1,1,1,0,0,35,1,0,0,0,0
2023-09-11T21,152,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,9,1,0,0,0,6,0,0,0,0,16,0,0,0,0,0,1,0,0,12,18,0,0,0,2,0,0,0,0,0,0,0,0,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,2,5,0,0,0,0,0,0,1,1,0,0,40,1,0,0,0,0
2023-09-11T22,110,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,3,0,0,0,0,12,0,0,0,0,0,1,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,1,2,0,0,32,0,0,0,0,0
2023-09-11T23,104,3,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,15,1,0,1,0,5,0,0,0,0,7,0,0,0,0,0,1,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,1,1,0,0,34,0,0,0,0,0
2023-09-12T00,76,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,10,2,0,1,0,3,0,0,0,0,3,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,2,0,0,32,0,0,0,0,0
