bucket,total,--,AE,AM,AO,AR,AT,AU,AZ,BA,BD,BE,BG,BO,BR,BY,CA,CH,CL,CM,CN,CO,CR,CV,CW,CZ,DE,DK,DO,EC,EE,EG,ES,ET,FI,FR,GB,GE,GR,GT,HK,HR,HU,ID,IE,IL,IM,IN,IQ,IR,IS,IT,JO,JP,KE,KG,KH,KM,KR,KZ,LA,LB,LK,LT,LU,LV,MA,MC,MD,ME,MK,MM,MN,MO,MR,MU,MW,MX,MY,NG,NL,NO,NP,NZ,PA,PH,PK,PL,PR,PT,PY,RO,RS,RU,RW,SC,SD,SE,SG,SI,SK,SV,TH,TR,TW,TZ,UA,UG,US,UY,VE,VN,ZA,ZW
2023-07-24T00,93,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,7,0,1,0,15,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,1,0,0,0,39,1,0,0,0,0
2023-07-24T01,132,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,9,0,0,0,21,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,1,5,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,1,0,1,0,0,0,53,1,0,0,2,0
2023-07-24T02,101,3,0,0,0,0,0,1,0,0,0,0,0,0,3,0,7,0,0,0,20,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,1,1,0,0,0,41,0,0,0,0,0
2023-07-24T03,103,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,9,0,0,0,19,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,44,0,0,0,0,0
2023-07-24T04,84,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,1,0,4,0,1,0,34,0,0,1,0,0
2023-07-24T05,64,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,5,0,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,6,0,0,0,1,0,2,0,0,0,17,0,0,0,1,0
2023-07-24T06,105,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,1,0,0,0,64,0,0,0,0,1
2023-07-24T07,134,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,0,0,0,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,21,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,64,0,0,1,0,0
2023-07-24T08,93,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,3,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,2,0,2,0,0,0,37,0,0,0,0,0
2023-07-24T09,97,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,2,1,0,0,0,6,0,0,0,1,0,0,0,1,0,44,0,0,1,2,0
2023-07-24T10,109,3,0,0,0,0,0,0,0,1,0,0,1,0,2,0,2,0,0,0,18,0,0,0,0,0,11,1,0,0,0,0,0,0,0,4,5,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,6,0,0,0,0,0,1,0,1,0,0,0,0,5,0,0,0,1,0,1,0,0,0,34,0,0,0,0,0
2023-07-24T11,105,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,20,0,0,0,0,0,6,1,0,0,0,0,0,0,0,4,6,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,1,6,0,0,0,1,0,3,0,2,0,27,0,0,0,0,0
2023-07-24T12,97,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,19,1,0,0,0,0,6,1,1,0,0,0,0,0,0,3,4,0,1,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,1,6,0,0,0,6,0,3,0,0,0,24,0,0,0,0,0
2023-07-24T13,102,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,17,0,0,0,0,0,16,1,0,0,0,0,0,0,0,5,5,0,1,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1,0,0,6,0,0,0,7,0,3,0,0,0,17,0,0,0,0,0
2023-07-24T14,121,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,1,0,18,0,0,0,0,0,12,0,0,0,0,0,0,0,1,7,5,0,3,0,3,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,1,0,1,0,0,0,3,0,0,0,1,5,0,0,0,14,0,4,0,1,0,19,0,0,2,0,0
2023-07-24T15,129,4,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0,16,0,0,0,0,0,16,0,0,0,0,0,1,0,0,5,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,3,0,1,0,1,0,1,0,0,0,1,0,0,0,1,5,0,1,0,18,0,3,0,0,0,20,0,0,0,1,0
