bucket,total,--,AE,AL,AR,AT,AU,BA,BB,BD,BE,BG,BH,BO,BR,BW,BY,CA,CD,CH,CL,CM,CN,CO,CR,CW,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GH,GR,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JM,JP,KE,KG,KH,KR,KW,KZ,LA,LB,LK,LT,LU,LV,MA,MC,MK,MM,MN,MO,MV,MX,MY,NC,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PT,PY,RO,RS,RU,RW,SA,SC,SD,SE,SG,SI,SK,TH,TN,TR,TT,TW,UA,US,UY,UZ,VE,VN,ZA
2023-12-24T22,124,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,7,0,1,0,0,13,1,0,0,0,0,14,0,0,0,0,0,0,1,0,0,4,10,0,0,2,1,0,0,0,0,0,1,0,1,8,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,3,0,0,1,0,3,1,0,0,0,0,5,0,0,2,0,1,0,3,0,25,0,0,0,0,0
2023-12-24T23,115,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,9,1,0,0,0,0,13,0,0,0,0,0,0,2,0,0,5,13,0,0,1,1,0,0,0,0,0,1,0,2,5,0,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,2,8,0,0,0,0,0,0,2,0,27,0,0,0,0,0
2023-12-25T00,104,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,11,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,10,0,0,1,1,0,0,0,0,0,2,0,2,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,2,6,0,0,1,0,0,1,0,0,30,0,0,0,0,0
2023-12-25T01,123,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,7,0,1,0,0,18,0,0,0,0,0,7,0,0,0,0,0,0,1,0,1,4,7,0,0,1,1,0,0,0,0,0,3,0,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,1,6,0,0,1,0,1,1,1,0,38,0,0,0,0,0
2023-12-25T02,91,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,13,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,0,0,0,0,2,0,0,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,1,1,0,0,0,0,2,0,0,0,0,1,7,0,0,2,0,0,0,3,0,27,0,0,0,0,0
2023-12-25T03,101,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,0,13,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,5,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,6,0,0,1,0,0,0,2,0,39,0,0,0,1,1
2023-12-25T04,82,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,12,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,5,0,0,2,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,7,0,0,2,0,1,0,2,0,29,0,0,0,1,0
2023-12-25T05,108,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,2,0,0,16,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,3,0,0,2,1,0,0,0,0,0,2,1,2,1,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,3,0,2,1,0,0,0,2,0,0,0,0,0,8,0,0,1,1,0,0,3,0,33,0,0,0,1,1
2023-12-25T06,90,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,15,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,6,0,0,6,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,4,0,0,0,0,1,7,0,0,0,0,0,0,0,0,24,0,0,0,2,0
2023-12-25T07,77,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,12,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,5,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,5,0,0,0,0,0,0,1,0,29,0,0,0,0,1
