bucket,total,--,AE,AM,AR,AT,AU,BA,BD,BE,BG,BO,BR,BW,CA,CH,CL,CM,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GL,GR,GT,HK,HR,HU,ID,IE,IL,IN,IR,IT,JP,KH,KR,KW,KZ,LA,LT,LV,LY,MA,MC,MD,MK,MM,MU,MW,MX,MY,NG,NL,NO,NZ,PE,PH,PK,PL,PT,PY,RO,RS,RU,RW,SC,SE,SG,SI,SK,SV,TG,TH,TR,TW,TZ,UA,US,UY,UZ,VE,VN,ZA
2023-06-19T00,90,1,0,0,1,0,0,0,1,0,0,0,1,0,4,0,0,0,13,0,0,0,3,0,0,0,0,0,0,1,0,0,4,5,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,1,0,0,0,2,34,0,0,1,0,1
2023-06-19T01,78,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,11,0,0,0,4,0,0,0,0,0,0,1,0,1,3,5,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,5,0,0,0,0,4,2,0,0,1,25,0,0,0,0,0
2023-06-19T02,79,2,0,0,2,0,0,0,1,0,0,0,0,0,4,0,0,0,7,0,0,0,3,0,0,0,0,0,0,1,0,0,2,2,0,0,0,1,0,0,0,0,0,3,2,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,7,0,0,0,0,2,0,2,0,1,24,0,0,0,0,0
2023-06-19T03,92,4,0,0,2,0,1,0,2,0,0,1,0,0,6,0,0,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,3,4,0,0,0,0,0,0,0,0,0,4,1,0,2,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8,0,0,0,0,2,0,3,0,2,21,0,0,0,1,0
2023-06-19T04,88,2,0,0,0,0,0,0,2,0,0,1,0,0,6,0,0,0,20,0,0,0,7,0,0,0,0,0,0,1,0,1,7,4,0,0,0,3,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0,0,0,0,3,0,0,0,2,11,0,0,0,1,0
2023-06-19T05,91,2,0,0,1,0,0,0,1,0,0,0,0,0,10,0,0,0,28,0,0,0,3,0,0,0,0,0,0,1,0,1,6,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,0,0,0,0,2,1,0,0,0,13,0,0,0,0,1
2023-06-19T06,80,2,0,0,1,0,0,0,2,0,0,0,0,0,3,0,0,0,19,0,0,0,5,1,0,0,0,0,0,2,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,3,1,0,0,2,15,0,0,0,1,1
2023-06-19T07,108,2,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,31,0,0,0,12,0,0,0,0,0,0,2,0,0,2,4,0,0,0,0,0,0,0,0,0,2,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,2,0,0,0,0,1,0,0,0,5,0,0,0,0,2,0,1,0,1,22,0,0,0,2,0
2023-06-19T08,98,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,21,0,0,0,8,0,0,0,0,0,0,2,0,0,3,6,0,1,0,1,0,0,1,0,0,1,0,1,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,1,0,0,0,1,20,0,0,0,1,0
2023-06-19T09,145,2,0,0,2,0,1,0,1,0,0,0,2,0,2,0,0,0,23,0,0,0,13,0,0,0,0,0,0,1,0,0,2,8,0,1,0,1,0,0,1,0,0,0,0,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,0,1,0,2,0,0,1,9,1,0,0,0,1,0,0,0,3,49,0,0,0,1,0
2023-06-19T10,79,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,19,0,0,0,6,0,0,0,0,0,0,1,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,6,1,0,0,0,1,0,2,0,1,17,0,0,0,1,0
2023-06-19T11,94,2,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,23,0,0,0,11,0,0,0,0,0,0,2,0,0,3,6,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,2,0,1,0,5,0,0,0,0,2,1,7,0,2,12,0,0,0,1,0
2023-06-19T12,138,2,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,22,1,0,0,15,0,1,0,0,0,0,1,0,0,5,11,0,0,0,1,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,1,0,0,0,2,0,0,0,6,0,0,0,0,7,0,5,0,2,35,0,0,0,1,0
2023-06-19T13,145,2,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0,0,21,1,0,0,14,0,0,0,0,0,0,1,0,0,3,10,0,0,0,6,0,0,1,0,0,0,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,1,0,0,0,3,0,0,0,7,0,0,0,0,12,3,4,0,1,34,0,0,0,1,0
2023-06-19T14,128,2,0,0,0,0,0,0,1,1,0,0,3,0,3,0,0,0,19,0,0,0,10,0,1,0,0,0,0,3,0,0,4,11,0,0,0,2,0,1,1,3,0,0,1,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,2,0,3,0,0,1,6,0,0,0,0,15,1,5,0,2,13,0,0,0,0,0
2023-06-19T15,174,2,0,0,2,0,0,0,1,0,0,0,3,0,2,2,0,0,19,0,0,0,15,0,1,0,0,0,0,4,0,0,9,13,0,0,0,0,0,1,0,5,0,0,1,9,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6,1,0,0,2,0,0,0,0,0,0,4,0,0,1,6,0,0,0,0,12,0,3,0,2,43,0,0,0,0,1
2023-06-19T16,160,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,10,0,0,0,21,0,0,0,0,0,0,4,0,0,10,16,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,1,0,2,1,0,0,0,2,0,0,0,6,0,2,0,0,9,1,2,0,2,42,0,0,0,0,1
