bucket,total,--,AE,AL,AM,AR,AT,AU,AZ,BA,BD,BE,BG,BR,BY,CA,CH,CL,CN,CO,CW,CY,CZ,DE,DK,DO,EC,EG,ES,ET,FI,FR,GB,GE,GR,HK,HR,HU,ID,IE,IL,IN,IR,IT,JP,KE,KG,KH,KR,KZ,LB,LK,LT,LU,LV,MA,MC,MK,MM,MO,MU,MX,MY,NG,NL,NO,NZ,PA,PE,PH,PK,PL,PS,PT,RO,RS,RU,RW,SC,SE,SG,SK,SN,SV,SZ,TG,TH,TN,TR,TT,TW,TZ,UA,UG,US,UY,UZ,VE,VN,ZA,ZW
2023-04-30T23,116,3,0,0,0,0,0,1,1,0,0,0,0,1,0,11,1,0,0,0,0,0,0,14,1,0,0,0,1,1,1,3,9,0,0,0,0,1,0,0,0,0,0,5,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,9,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,32,0,0,0,0,0,0
2023-05-01T00,108,2,0,0,0,2,0,0,1,0,0,0,0,1,0,9,0,0,3,1,0,0,0,10,1,0,0,0,1,0,1,0,8,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,2,0,0,1,1,0,0,0,38,0,0,0,0,0,0
2023-05-01T01,105,3,1,0,0,2,0,1,1,0,0,0,0,1,0,8,0,2,4,1,0,0,0,5,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,0,1,6,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,37,0,0,0,1,0,0
2023-05-01T02,83,2,0,0,0,1,0,0,1,0,0,0,0,1,0,4,1,0,3,0,0,0,0,7,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7,0,0,0,0,0,1,0,0,0,4,0,0,0,32,0,0,0,1,0,0
2023-05-01T03,75,3,0,0,0,1,0,3,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,5,1,0,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,28,0,0,0,0,0,0
2023-05-01T04,130,1,0,0,0,2,0,2,1,0,0,0,0,0,0,1,0,0,16,0,0,0,0,5,1,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,1,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,6,0,0,0,0,0,2,0,0,0,1,0,0,0,70,0,0,0,1,0,0
2023-05-01T05,102,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,21,0,0,0,0,4,1,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,44,0,0,0,0,0,0
2023-05-01T06,87,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,19,0,0,0,0,11,1,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,1,0,0,0,1,0,1,0,19,0,0,0,0,0,0
2023-05-01T07,115,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,18,0,0,0,0,13,1,0,0,0,1,0,0,0,4,0,0,1,0,2,0,0,0,9,1,2,3,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,3,0,0,0,3,0,0,0,32,0,0,0,0,0,0
2023-05-01T08,115,2,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,19,1,0,0,0,20,1,0,0,0,1,0,0,3,9,0,0,1,0,0,1,0,0,0,1,12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,5,0,0,0,0,0,2,0,0,0,2,0,0,0,18,0,0,0,1,0,0
