bucket,total,--,AE,AM,AO,AR,AT,AU,AZ,BA,BD,BE,BG,BN,BO,BR,BY,CA,CH,CI,CL,CN,CO,CR,CV,CZ,DE,DK,DO,DZ,EC,EG,ES,ET,FI,FR,GB,GE,GH,GM,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JE,JO,JP,KR,KZ,LA,LT,LU,LV,MA,MG,MK,MN,MU,MX,MY,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PT,PY,RO,RS,RU,RW,SE,SG,SI,SK,TH,TN,TR,TW,UA,US,UY,UZ,VE,VN,ZA,ZM,ZW
2023-01-27T00,144,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,1,0,0,4,0,0,0,0,14,0,0,0,0,0,5,1,0,4,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,6,0,0,0,0,0,1,1,48,0,0,0,0,0,0,1
2023-01-27T01,188,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,17,0,0,1,5,0,0,0,0,8,0,0,0,0,0,2,1,0,5,8,0,0,0,0,0,1,0,1,0,0,0,7,0,0,3,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,5,0,0,2,0,0,3,1,98,0,0,0,1,0,0,1
2023-01-27T02,160,4,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,24,0,0,0,5,0,0,0,0,18,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13,2,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,4,0,1,6,0,0,0,0,1,1,0,60,0,0,0,2,0,1,0
2023-01-27T03,121,3,1,0,0,0,0,3,0,0,0,0,0,0,0,3,0,8,1,0,0,4,1,0,0,0,4,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,2,1,70,0,0,0,1,0,0,0
2023-01-27T04,109,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,17,1,0,0,0,3,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,2,0,52,0,0,0,0,0,0,0
2023-01-27T05,100,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,17,0,0,0,0,5,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,4,0,41,0,0,0,1,0,0,0
2023-01-27T06,151,3,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,22,0,0,0,0,7,0,0,0,0,0,1,0,1,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,2,1,0,3,0,0,1,1,0,2,0,0,0,0,0,0,0,4,0,15,6,0,0,0,0,0,2,0,57,0,0,0,1,0,0,0
2023-01-27T07,124,3,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,3,0,0,0,20,0,0,0,0,9,1,0,0,0,0,2,0,0,2,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,15,2,0,0,0,0,1,0,0,0,0,0,3,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,1,5,0,0,1,0,0,3,1,31,0,0,0,1,0,0,0
2023-01-27T08,131,3,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,22,0,0,0,0,8,2,0,0,0,0,0,0,0,9,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,1,6,0,0,0,0,0,7,0,49,0,0,0,0,0,0,0
2023-01-27T09,119,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,1,0,0,20,0,0,0,0,13,1,0,0,0,0,0,0,0,5,3,0,0,0,1,0,2,0,0,2,0,0,0,0,0,1,0,0,14,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,1,5,0,0,0,0,0,4,0,31,0,0,0,0,0,0,0
2023-01-27T10,123,2,0,0,0,0,0,1,1,0,1,0,0,0,0,2,0,2,1,0,0,10,0,0,0,0,12,0,0,0,0,0,2,0,0,2,8,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,14,0,1,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,9,0,0,3,0,0,2,0,30,0,0,0,1,0,0,0
2023-01-27T11,112,2,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,4,2,0,0,4,0,0,0,0,7,0,0,0,0,0,1,0,0,10,10,0,0,0,0,0,2,1,0,0,0,0,1,0,0,3,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,1,0,0,0,1,0,7,0,1,8,0,0,1,0,0,3,0,28,0,0,0,0,0,0,0
2023-01-27T12,92,3,0,0,0,1,1,1,0,0,0,0,0,0,0,2,0,2,0,0,0,6,0,0,0,0,10,0,1,0,0,0,0,0,0,5,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,3,0,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,1,4,0,0,0,0,0,3,0,0,0,0,0,2,0,1,0,2,6,0,0,3,0,0,4,0,19,0,0,0,2,0,0,0
2023-01-27T13,113,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,5,1,0,0,0,19,0,1,0,0,0,0,0,0,9,3,0,0,0,0,0,5,0,0,0,0,1,2,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,1,1,0,0,1,1,0,3,0,4,5,0,0,3,0,2,7,0,12,0,0,0,2,0,0,0
2023-01-27T14,128,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,3,0,0,0,4,1,0,0,0,21,1,0,0,0,0,2,0,0,20,4,0,0,0,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,1,2,0,0,1,0,0,4,0,2,6,0,0,7,0,0,5,0,21,0,0,0,0,0,0,0
2023-01-27T15,121,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,31,1,0,0,0,0,2,0,0,6,5,0,0,0,0,0,2,0,0,0,0,0,5,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,3,5,0,0,8,0,0,1,0,28,0,0,0,0,0,0,0
2023-01-27T16,123,2,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,0,3,0,0,0,0,29,0,0,0,0,0,1,0,0,6,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,4,6,0,0,9,0,1,2,0,16,0,0,0,0,0,0,0
2023-01-27T17,163,2,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,4,0,0,0,3,0,0,0,0,41,0,0,0,0,0,4,0,0,9,5,0,0,0,0,0,2,0,1,0,0,0,0,0,0,18,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,1,0,4,1,5,5,0,0,4,0,2,0,0,29,0,0,0,0,0,0,0
2023-01-27T18,122,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,1,4,0,0,0,0,27,0,0,0,0,0,3,0,0,7,9,0,0,0,0,0,3,0,1,0,0,0,1,0,0,5,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,2,5,1,0,4,0,1,0,0,21,0,0,0,0,0,0,0
