bucket,total,--,AE,AF,AM,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BO,BR,BW,BY,BZ,CA,CH,CI,CL,CM,CN,CO,CV,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KE,KH,KR,KW,KZ,LA,LB,LK,LT,LU,LV,MA,MD,MK,ML,MM,MN,MO,MT,MU,MX,MY,NC,NE,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PT,PY,RO,RS,RU,RW,SE,SG,SI,SK,TH,TN,TR,TT,TW,TZ,UA,US,UY,UZ,VE,VN,ZA,ZM
2023-10-22T22,105,1,0,0,0,2,0,1,0,1,0,0,0,0,0,6,0,0,0,16,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,1,0,0,0,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,5,0,0,0,0,0,0,1,0,0,22,0,0,0,0,0,0
2023-10-22T23,80,1,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,11,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,1,5,0,0,0,0,0,0,2,0,0,23,0,0,0,0,0,0
2023-10-23T00,70,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,3,0,0,0,3,0,2,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,5,0,0,0,0,1,0,1,0,0,29,0,0,0,0,0,0
2023-10-23T01,78,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1,1,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,5,0,0,0,1,0,0,2,0,0,28,0,0,0,0,0,0
2023-10-23T02,90,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11,0,1,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6,0,0,1,1,0,0,2,0,0,37,0,0,0,0,0,0
2023-10-23T03,70,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,5,0,0,2,0,0,0,1,0,0,30,0,0,0,0,0,0
2023-10-23T04,72,2,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0,0,1,0,0,27,0,0,0,0,0,0
2023-10-23T05,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,5,0,0,2,0,0,0,2,0,0,20,0,0,0,0,0,0
2023-10-23T06,52,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,5,0,0,2,0,0,0,1,0,0,16,0,0,0,0,0,0
2023-10-23T07,57,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,5,0,0,0,0,0,0,2,0,0,13,0,0,0,0,0,0
2023-10-23T08,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,1,0,0,11,0,0,0,0,0,0,1,0,0,5,3,0,0,0,0,1,0,0,1,0,0,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,6,0,0,2,1,0,0,1,0,0,19,0,0,0,0,0,0
2023-10-23T09,82,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,1,0,1,5,5,0,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,2,0,0,0,1,0,3,0,1,6,0,0,2,1,0,0,2,0,0,20,0,0,0,1,0,0
2023-10-23T10,78,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,10,1,0,0,0,0,0,0,0,1,4,3,0,0,0,0,1,0,0,1,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,6,0,0,3,0,0,0,1,0,0,25,0,0,0,1,0,0
2023-10-23T11,103,4,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,3,2,0,1,0,4,1,0,0,7,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,1,0,0,2,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,6,0,0,10,0,0,0,7,0,0,22,0,0,0,1,0,0
2023-10-23T12,108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3,0,0,0,2,0,0,0,10,0,0,0,0,0,0,2,0,0,8,7,0,0,0,0,1,0,0,2,1,0,0,0,1,4,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0,1,1,1,3,0,1,8,0,0,7,0,0,0,5,0,0,24,0,0,0,0,0,0
2023-10-23T13,104,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,3,0,0,0,12,0,0,0,0,0,0,1,0,0,9,6,0,0,0,0,3,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,7,0,0,5,0,0,0,11,0,0,22,0,0,0,0,0,0
2023-10-23T14,137,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,13,0,0,0,0,0,0,1,0,0,7,6,0,0,0,0,3,0,0,0,0,0,2,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,3,6,0,0,12,0,0,0,4,0,0,44,0,0,0,2,0,0
2023-10-23T15,145,2,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,0,9,0,0,0,0,6,0,0,0,19,0,0,0,0,0,0,0,0,1,12,5,0,0,0,0,4,0,0,0,0,0,1,0,1,8,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,5,6,0,0,16,0,3,0,4,0,1,23,0,0,0,0,0,0
2023-10-23T16,182,3,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,6,1,0,1,0,9,0,0,0,30,0,0,0,0,0,0,3,0,0,15,7,0,0,0,0,2,0,1,0,0,0,0,0,0,19,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,1,0,2,0,3,0,11,6,0,0,16,0,2,0,4,0,1,27,0,0,0,0,0,0
2023-10-23T17,201,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,4,1,0,0,0,2,0,0,0,39,0,0,0,0,0,0,2,0,0,11,13,0,0,0,0,2,0,0,0,0,0,1,0,1,10,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,0,0,1,0,0,1,0,0,0,1,0,1,0,2,0,9,5,0,0,11,0,1,0,2,0,0,57,0,0,0,1,0,0
2023-10-23T18,194,2,0,0,0,1,0,1,0,0,0,0,2,1,0,1,0,0,0,6,2,0,0,0,1,0,0,0,40,0,0,0,0,0,0,4,0,0,11,19,0,0,2,0,3,2,0,0,0,0,1,1,2,17,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,1,0,0,0,0,1,0,0,0,2,0,1,0,2,0,4,5,0,0,5,0,1,0,3,0,0,20,0,0,0,0,0,0
2023-10-23T19,187,3,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,8,1,0,0,0,13,0,0,0,36,0,0,0,0,0,0,6,0,0,9,12,0,0,3,0,3,1,0,0,0,0,0,0,0,16,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,0,0,0,0,1,0,3,0,1,0,1,0,2,0,3,5,0,0,4,0,0,0,2,0,0,27,0,0,0,0,0,0
2023-10-23T20,138,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,1,0,0,0,2,0,0,0,26,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,2,0,0,0,0,0,0,0,0,16,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2,7,0,0,1,0,0,0,2,0,1,19,0,0,0,1,0,0
2023-10-23T21,150,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8,1,0,0,0,4,0,0,0,16,0,0,0,0,0,0,2,0,0,6,6,0,0,1,0,1,0,0,0,1,0,0,0,0,19,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,0,0,0,0,1,0,3,0,0,0,0,0,4,0,2,5,0,0,0,0,1,0,2,0,0,43,1,0,0,0,0,0
2023-10-23T22,98,4,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,12,0,0,0,7,0,0,0,0,0,0,1,0,0,7,8,0,0,0,0,1,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,5,0,0,1,0,0,0,1,0,0,26,0,0,0,0,0,0
2023-10-23T23,100,1,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,9,1,0,0,0,9,0,0,0,5,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,7,0,0,0,0,0,0,1,0,0,29,0,0,0,2,0,0
2023-10-24T00,149,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,12,1,0,0,1,11,1,0,0,5,0,0,0,0,0,0,0,0,0,5,4,0,0,1,0,2,0,0,0,0,0,1,0,0,4,6,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,7,0,0,1,0,0,0,1,0,0,72,0,0,0,0,0,0
2023-10-24T01,106,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,10,0,0,0,0,8,0,0,0,5,0,0,0,0,0,0,1,0,0,1,3,0,0,0,1,1,0,0,0,3,0,1,0,0,2,5,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0,1,5,0,0,0,0,0,0,1,0,0,42,0,0,0,0,0,0
2023-10-24T02,94,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,8,0,0,0,0,14,0,0,0,2,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,6,0,0,1,0,0,0,1,0,0,40,0,0,0,0,0,0
2023-10-24T03,110,3,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,10,0,0,0,4,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,1,0,3,0,2,6,0,0,1,0,0,0,2,0,0,45,0,0,0,0,0,0
2023-10-24T04,85,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,1,0,0,5,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,1,0,1,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,1,0,1,6,0,0,2,0,0,0,1,0,0,30,0,0,0,0,0,0
2023-10-24T05,82,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,2,4,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,2,0,0,1,3,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,1,6,0,0,4,0,0,0,1,0,0,29,0,0,0,0,1,0
2023-10-24T06,67,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,6,0,0,3,0,0,0,1,0,0,23,0,0,0,2,1,0
